first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2015,"[""Nebraska""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,92,,,,,,,,597,36,4.2,37.3,2,25,183,1,36,11.4,168,780,3,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2016,"[""Nebraska""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22,,,,,,,,101,24,5.6,50.5,0,5,57,1,18,28.5,23,158,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2017,"[""Nebraska""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,99,,,,,,,,552,34,3.3,39.4,4,25,162,1,22,11.6,190,714,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2018,"[""Nebraska""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,1,1,1.0,0.1,0,3,28,0,12,2.8,4,29,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2018,"[""Nebraska""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,1,1,1.0,0.3,0,2,18,0,12,6.0,3,19,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2018,"[""Nebraska""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,,0.0,0,1,10,0,10,1.4,1,10,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2019,"[""Nebraska""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,24,,,,,,,,115,15,5.0,7.2,0,15,88,1,16,5.5,38,203,1,1,9,0,9,7,0,7,16,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2020,"[""Nebraska""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22,,,,,,,,42,13,5.3,2.6,0,8,58,2,22,3.6,16,100,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2021,"[""Nebraska""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,52,,,,,,,,166,15,3.3,9.8,0,38,289,1,23,17.0,89,455,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
Ameer,Abdullah,Ameer Abdullah,06/13/1993,2,54,AbduAm00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png&w=350&h=254,2021,"[""Nebraska""]",CAR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,52,,,,,,,,136,15,3.1,12.4,0,35,272,1,23,24.7,79,408,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2054,219,1567,9,11,0,0
