first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2014,"[""Fresno St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,63,,,,,,,,0,,,0.0,0,38,446,3,45,27.9,38,446,3,0,0,0,,124,1,46,124,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2015,"[""Fresno St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,56,,,,,,,,0,,,0.0,0,50,483,1,40,37.2,50,483,1,0,0,0,,48,1,20,48,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2016,"[""Fresno St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,172,,,,,,,,0,,,0.0,0,75,997,12,66,62.3,75,997,12,2,0,0,,217,2,32,217,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2017,"[""Fresno St.""]",GNB,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,149,,,,,,,,0,,,0.0,0,74,885,10,55,63.2,74,885,10,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2018,"[""Fresno St.""]",GNB,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,219,,,,,,,,0,,,0.0,0,111,1386,13,57,92.4,111,1386,13,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2019,"[""Fresno St.""]",GNB,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,130,,,,,,,,0,,,0.0,0,83,997,5,58,83.1,83,997,5,2,0,0,,298,2,65,298,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2020,"[""Fresno St.""]",GNB,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,243,,,,,,,,0,,,0.0,0,115,1374,18,56,98.1,115,1374,18,1,0,0,,133,2,21,133,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2021,"[""Fresno St.""]",GNB,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,221,,,,,,,,0,,,0.0,0,123,1553,11,59,97.1,123,1553,11,0,0,0,,90,0,25,90,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2022,"[""Fresno St.""]",LVR,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,236,0,0,0,,0.0,,,-1,4,-0.3,-0.1,0,100,1516,14,60,89.2,103,1515,14,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
Davante,Adams,Davante Adams,12/24/1992,2,53,AdamDa01,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=350&h=254,2023,"[""Fresno St.""]",LVR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,162,,,,,,,,0,,,0.0,0,103,1144,8,46,67.3,103,1144,8,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,-1,1017,12633,0,117,0,0
