first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1975,"[""Texas"", ""Utah St.""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,17,445,2,4,32,,52.1,46.8,42,16,5.3,7.0,0,1,-7,0,-7,-1.2,9,35,0,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1976,"[""Texas"", ""Utah St.""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,31,575,3,4,49,,68.7,50.7,46,21,9.2,3.3,0,0,0,0,,0.0,5,46,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1977,"[""Texas"", ""Utah St.""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15,691,2,11,63,,43.6,51.1,21,8,4.2,1.5,0,0,0,0,,0.0,5,21,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1978,"[""Texas"", ""Utah St.""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,415,2,3,26,,63.0,55.7,15,6,1.7,0.9,0,0,0,0,,0.0,9,15,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1979,"[""Texas"", ""Utah St.""]",Did not play - Toronto Argonauts (Canadian Football League),,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1980,"[""Texas"", ""Utah St.""]",Did not play - Toronto Argonauts (Canadian Football League),,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1981,"[""Texas"", ""Utah St.""]",Did not play - Retired,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1982,"[""Texas"", ""Utah St.""]",Did not play - Retired,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1983,"[""Texas"", ""Utah St.""]",Did not play - Retired,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
Tony,Adams,Tony Adams,03/19/1950,14,343,AdamTo00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4240532.png&w=350&h=254,1984,"[""Texas"", ""Utah St.""]",Did not play - Retired,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,1,-7,0,0,2733,12
