first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2015,"[""USC""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,,,,,,,,0,,,0.0,0,23,283,1,53,21.8,23,283,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2016,"[""USC""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,52,,,,,,,,14,5,2.8,0.9,0,36,365,2,40,24.3,41,379,2,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2017,"[""USC""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,132,,,,,,,,7,7,7.0,0.4,0,62,768,8,72,48.0,63,775,8,0,29,0,21,167,0,42,196,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2018,"[""USC""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,101,15,0,0,15,100.0,118.7,100.0,32,16,10.7,2.0,0,64,736,4,83,46.0,67,768,4,1,12,0,12,38,0,13,50,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2019,"[""USC""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,55,,,,,,,,7,16,3.5,0.6,0,39,363,3,43,33.0,41,370,3,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2020,"[""USC""]",LVR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,138,,,,,,,,0,,,0.0,0,48,896,8,85,56.0,48,896,8,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2021,"[""USC""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,66,,,,,,,,11,6,3.7,0.7,0,37,473,3,44,31.5,40,484,3,0,0,0,,18,0,18,18,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2022,"[""USC""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,44,,,,,,,,0,,,0.0,0,31,362,2,44,22.6,31,362,2,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2023,"[""USC""]",BAL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,62,,,,,,,,0,,,0.0,0,35,381,4,37,22.4,35,381,4,1,0,0,,51,1,39,51,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
Nelson,Agholor,Nelson Agholor,05/24/1993,1,20,AghoNe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png&w=350&h=254,2024,"[""USC""]",BAL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,,,,,,,,0,,,0.0,0,14,231,2,56,16.5,14,231,2,0,0,0,,25,0,25,25,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71,389,4858,0,37,15,0
