first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1989,"[""Oklahoma"", ""UCLA""]",DAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,1749,9,18,75,,55.7,52.9,302,25,7.9,27.5,0,1,-13,0,-13,-1.2,39,289,0,6,,,,,,,,,,,,,,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1990,"[""Oklahoma"", ""UCLA""]",DAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,129,2579,11,18,61,,66.6,56.6,172,20,4.3,11.5,1,0,0,0,,0.0,40,172,1,5,,,,,,,,,,,,,,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1991,"[""Oklahoma"", ""UCLA""]",DAL,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,136,2754,11,10,61,,86.7,65.3,5,9,0.3,0.4,1,1,-6,0,-6,-0.5,17,-1,1,4,0,0,,0,0,,0,2,1,114,0,63.0,25,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1992,"[""Oklahoma"", ""UCLA""]",DAL,PB SB MVP,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,214,3445,23,14,87,,89.5,63.8,105,19,2.8,6.6,1,0,0,0,,0.0,37,105,1,4,38,0,19,0,0,,38,1,0,795,8,126.4,70,true,true,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1993,"[""Oklahoma"", ""UCLA""]",DAL,PB AP MVP-5 OPoY-6,QB,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,false,178,3100,15,6,80,,99.0,69.1,125,20,3.9,8.9,0,0,0,0,,0.0,32,125,0,7,28,0,12,0,0,,28,0,3,686,5,104.0,35,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1994,"[""Oklahoma"", ""UCLA""]",DAL,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,141,2676,13,12,90,,84.9,64.5,62,13,2.1,4.4,1,0,0,0,,0.0,30,62,1,2,11,0,9,0,0,,11,0,4,717,4,87.3,94,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1995,"[""Oklahoma"", ""UCLA""]",DAL,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,189,3304,16,7,50,,93.6,64.8,32,12,1.5,2.0,1,0,0,0,,0.0,21,32,1,5,6,0,9,0,0,,6,0,1,717,4,106.1,47,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1996,"[""Oklahoma"", ""UCLA""]",DAL,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,149,3126,12,13,61,,80.1,63.7,42,10,1.2,2.8,1,0,0,0,,0.0,35,42,1,6,4,1,2,0,0,,4,1,4,343,1,51.0,23,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1997,"[""Oklahoma"", ""UCLA""]",DAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,185,3283,19,12,64,,78.0,56.4,79,13,3.2,4.9,0,0,0,0,,0.0,25,79,0,6,,,,,,,,,,,,,,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
Troy,Aikman,Troy Aikman,11/21/1966,1,1,AikmTr00,,1998,"[""Oklahoma"", ""UCLA""]",DAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,148,2330,12,5,67,,88.5,59.4,69,23,3.1,6.3,2,0,0,0,,0.0,22,69,2,3,0,0,,0,0,,0,1,3,191,1,37.0,19,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1016,2,-19,9,0,32942,165
