first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1982,"[""USC""]",RAI,PB AP-1 AP MVP-3 OPoY-2 ORoY-1,RB,true,false,true,true,true,true,false,true,true,true,false,false,false,true,true,false,191,47,0,0,47,,76.0,25.0,697,53,4.4,77.4,11,38,401,3,51,44.6,198,1098,14,5,108,3,13,112,0,35,220,2,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1983,"[""USC""]",RAI,SB MVP,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,235,111,3,0,43,,141.4,57.1,1014,19,3.8,63.4,9,68,590,2,36,36.9,334,1604,11,14,466,4,74,118,1,17,584,1,,,,,,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1984,"[""USC""]",RAI,PB AP-2,RB,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,294,38,0,0,38,,66.7,25.0,1168,52,4.2,73.0,13,64,758,5,92,47.4,339,1926,18,8,61,0,15,90,1,46,151,1,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1985,"[""USC""]",RAI,PB AP-1 AP MVP-1 OPoY-1,RB,true,false,true,true,true,true,true,false,false,false,false,false,false,true,true,true,313,16,0,0,16,,77.1,50.0,1759,61,4.6,109.9,11,67,555,3,44,34.7,447,2314,14,3,121,1,17,8,0,6,129,1,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1986,"[""USC""]",RAI,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,156,,,,,,,,759,28,3.6,58.4,5,46,453,2,36,34.8,254,1212,7,7,,,,,,,,,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1987,"[""USC""]",RAI,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,144,23,0,0,23,,91.7,50.0,754,44,3.8,62.8,5,51,410,0,39,34.2,251,1164,5,3,,,,,,,,,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1988,"[""USC""]",RAI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,157,21,0,0,21,,87.5,50.0,831,32,3.7,55.4,7,34,303,1,30,20.2,257,1134,8,5,,,,,,,,,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1989,"[""USC""]",RAI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,58,,,,,,,,293,15,4.2,36.6,2,20,191,0,26,23.9,89,484,2,2,,,,,,,,,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1990,"[""USC""]",RAI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,162,0,0,1,,,0.0,0.0,682,28,3.8,42.6,12,15,189,1,30,11.8,194,871,13,1,166,0,20,43,0,24,209,0,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1991,"[""USC""]",RAI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,57,11,1,0,11,,106.2,50.0,287,26,4.6,35.9,2,15,131,0,25,16.4,78,418,2,1,39,0,10,4,0,4,43,1,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1992,"[""USC""]",RAI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,,,,,,,,301,21,4.5,18.8,2,28,277,1,40,17.3,95,578,3,1,,,,,,,,,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
Marcus,Allen,Marcus Allen,03/26/1960,1,10,AlleMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116149.png&w=350&h=254,1993,"[""USC""]",KAN,PB AP MVP-6,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,186,,,,,,,,764,39,3.7,47.8,12,34,238,3,18,14.9,240,1002,15,4,191,3,24,77,0,27,268,0,,,,,,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,12243,587,5411,123,21,282,6
