first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1979,"[""Miami (FL)""]",STL,PB AP-1 AP OPoY-4 ORoY-1,RB,true,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,241,0,0,0,,,39.6,0.0,1605,76,4.8,100.3,8,41,308,2,28,19.3,372,1913,10,10,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1980,"[""Miami (FL)""]",STL,PB AP-2,RB,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,215,,,,,,,,1352,52,4.5,84.5,9,36,308,0,35,19.3,337,1660,9,5,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1981,"[""Miami (FL)""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,217,,,,,,,,1376,28,4.2,86.0,9,51,387,0,27,24.2,379,1763,9,13,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1982,"[""Miami (FL)""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,85,,,,,,,,587,64,4.0,73.4,3,14,106,0,19,13.3,159,693,3,2,58,0,13,0,0,,58,0,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1983,"[""Miami (FL)""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,199,,,,,,,,1270,43,4.3,84.7,5,54,459,1,40,30.6,350,1729,6,10,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1984,"[""Miami (FL)""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,219,,,,,,,,1174,24,4.1,78.3,6,70,611,2,57,40.7,359,1785,8,8,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1985,"[""Miami (FL)""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,91,,,,,,,,479,38,4.1,53.2,4,23,225,0,43,25.0,140,704,4,3,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1986,"[""Miami (FL)""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,,,,,,,,237,16,3.2,19.8,3,19,137,0,19,11.4,94,374,3,2,6,1,3,0,0,,6,0,,,,,,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1986,"[""Miami (FL)""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,,,,,,,,81,16,3.4,10.1,1,9,46,0,12,5.8,33,127,1,0,6,1,3,0,0,,6,0,,,,,,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1986,"[""Miami (FL)""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,,,,,,,,156,14,3.1,39.0,2,10,91,0,19,22.8,61,247,2,2,6,1,3,0,0,,6,0,,,,,,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1987,"[""Miami (FL)""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,,,,,,,,6,4,3.0,1.5,0,2,16,0,9,4.0,4,22,0,0,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1988,"[""Miami (FL)""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,,,,,,,,208,11,3.2,13.0,8,9,57,0,13,3.6,74,265,8,0,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1989,"[""Miami (FL)""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,211,,,,,,,,1023,36,3.1,63.9,14,28,268,0,26,16.8,353,1291,14,2,120,1,13,-2,0,6,118,0,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1990,"[""Miami (FL)""]",NYG,SB MVP,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,157,,,,,,,,784,28,3.5,49.0,11,18,139,0,18,8.7,243,923,11,1,249,1,27,16,0,7,265,0,,,,,,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1991,"[""Miami (FL)""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,24,,,,,,,,141,9,2.7,14.1,1,11,41,0,13,4.1,64,182,1,0,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
Ottis,Anderson,Ottis Anderson,01/19/1957,1,8,AndeOt00,,1992,"[""Miami (FL)""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,31,6,3.1,2.4,0,0,0,0,,0.0,10,31,0,0,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,10273,376,3062,81,5,0,0
