first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,1998,"[""San Diego St.""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,1999,"[""San Diego St.""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,1,2,0,2,0.1,1,2,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,1999,"[""San Diego St.""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,1,2,0,2,0.2,1,2,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,1999,"[""San Diego St.""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,2000,"[""San Diego St.""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,,,,,,,,37,8,2.5,4.6,1,23,168,1,26,21.0,38,205,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,2001,"[""San Diego St.""]",BAL,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,39,,,,,,,,173,17,3.8,10.8,1,24,121,1,18,7.6,70,294,2,1,8,0,5,7,0,7,15,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,2003,"[""San Diego St.""]",MIA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,-2,-2,-2.0,-0.1,0,12,53,0,12,3.3,13,51,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,2004,"[""San Diego St.""]",ARI,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,,,,,,,,122,23,4.1,7.6,3,19,171,1,21,10.7,49,293,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,2005,"[""San Diego St.""]",ARI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,30,,,,,,,,46,11,2.1,2.9,0,34,231,0,18,14.4,56,277,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
Obafemi,Ayanbadejo,Obafemi Ayanbadejo,03/05/1975,,,AyanOb00,,2006,"[""San Diego St.""]",ARI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18,,,,,,,,37,11,4.1,2.6,0,17,139,0,27,9.9,26,176,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,413,130,885,5,3,0,0
