first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,1997,"[""Virginia""]",NYG,AP ORoY-4,RB,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,105,,,,,,,,511,42,3.8,42.6,3,34,299,1,29,24.9,170,810,4,3,29,0,14,31,0,16,60,1,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,1998,"[""Virginia""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,,,,,,,,166,23,3.2,10.4,0,42,348,3,87,21.8,94,514,3,1,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,1999,"[""Virginia""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,,,,,,,,258,30,4.2,16.1,0,66,609,2,56,38.1,128,867,2,5,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,2000,"[""Virginia""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,221,,,,,,,,1006,78,4.7,62.9,8,70,719,1,36,44.9,283,1725,9,9,153,0,27,60,0,12,213,2,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,2001,"[""Virginia""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,166,,,,,,,,865,36,5.2,61.8,4,72,577,0,44,41.2,238,1442,4,8,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,2002,"[""Virginia""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,252,,,,,,,,1387,70,4.6,86.7,11,69,597,0,38,37.3,373,1984,11,9,115,1,29,62,0,30,177,0,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,2003,"[""Virginia""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,176,,,,,,,,1216,27,4.4,76.0,2,69,461,1,36,28.8,347,1677,3,9,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,2004,"[""Virginia""]",NYG,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,296,,,,,,,,1518,72,4.7,94.9,13,52,578,2,62,36.1,374,2096,15,5,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,2005,"[""Virginia""]",NYG,PB AP-1 AP MVP-4 OPoY-3,RB,true,false,true,true,true,true,false,false,false,false,false,false,false,true,true,false,305,0,0,0,,,39.6,0.0,1860,95,5.2,116.3,9,54,530,2,48,33.1,411,2390,11,1,41,0,9,28,0,17,69,0,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
Tiki,Barber,Tiki Barber,04/07/1975,2,36,BarbTi00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1260.png&w=350&h=254,2006,"[""Virginia""]",NYG,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,241,,,,,,,,1662,55,5.1,103.9,5,58,465,0,28,29.1,385,2127,5,3,137,0,41,15,0,9,152,0,,,,,,false,false,false,false,true,false,false,false,true,true,false,true,true,false,false,10449,586,5183,55,12,0,0
