first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2013,"[""Oregon""]",CAR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,7,2,1.2,0.9,0,2,7,0,5,0.9,8,14,0,1,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2015,"[""Oregon""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,13,,,,,,,,124,19,4.4,12.4,0,9,22,0,12,2.2,37,146,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2016,"[""Oregon""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,,,,,,,,129,19,4.8,9.9,2,5,42,0,15,3.2,32,171,2,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2017,"[""Oregon""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,17,,,,,,,,57,18,3.6,4.4,1,5,56,0,22,4.3,21,113,1,3,0,0,,0,0,,0,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2018,"[""Oregon""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,71,11,3.7,7.9,0,1,3,0,3,0.3,20,74,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2018,"[""Oregon""]",CAR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,0,,,0.0,0,1,3,0,3,0.8,1,3,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2018,"[""Oregon""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,71,11,3.7,14.2,0,0,0,0,,0.0,19,71,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2019,"[""Oregon""]",ATL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,3,0,0,3,31.7,79.2,100.0,28,12,7.0,2.0,0,6,22,0,13,1.6,10,50,0,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2020,"[""Oregon""]",TAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
Kenjon,Barner,Kenjon Barner,04/28/1989,6,182,BarnKe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15921.png&w=350&h=254,2021,"[""Oregon""]",TAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,0.0,0.0,0,0,0,0,,0.0,4,0,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,416,28,152,3,0,3,0
