first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2012,"[""Miami (FL)""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,52,,,,,,,,66,35,11.0,4.7,0,18,298,2,69,21.3,24,364,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2013,"[""Miami (FL)""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,19,,,,,,,,45,45,45.0,5.6,0,5,105,0,39,13.1,6,150,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2014,"[""Miami (FL)""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,,,,,,,,11,10,3.7,0.7,0,18,314,3,43,19.6,21,325,3,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2015,"[""Miami (FL)""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,130,,,,,,,,12,10,3.0,0.8,0,68,966,5,61,60.4,72,978,5,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2016,"[""Miami (FL)""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,85,0,0,0,,1.9,39.6,0.0,-3,-1,-1.5,-0.2,0,47,677,4,54,48.4,49,674,4,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2017,"[""Miami (FL)""]",LAC,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,96,,,,,,,,96,22,7.4,6.0,0,34,567,4,62,35.4,47,663,4,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2018,"[""Miami (FL)""]",LAC,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,,,,,,,,41,19,5.9,3.4,0,12,186,1,46,15.5,19,227,1,0,0,0,,11,0,8,11,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2019,"[""Miami (FL)""]",LAC,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,0,,,0.0,0,6,30,0,13,6.0,6,30,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2020,"[""Miami (FL)""]",Did not play - Opted out during COVID-19 pandemic,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
Travis,Benjamin,Travis Benjamin,12/29/1989,4,100,BenjTr00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png&w=350&h=254,2021,"[""Miami (FL)""]",SFO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-2,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,1,0,0,,17,0,17,17,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,268,208,3143,0,19,0,0
