first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1988,"[""Notre Dame""]",RAI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,83,1643,8,7,57,,66.6,44.1,35,20,1.2,3.5,0,1,21,0,21,2.1,31,56,0,6,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1989,"[""Notre Dame""]",RAI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,99,1677,13,9,67,,78.4,49.8,39,10,2.4,3.9,0,0,0,0,,0.0,16,39,0,6,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1990,"[""Notre Dame""]",Did not play - Contract dispute,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1991,"[""Notre Dame""]",DAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,909,5,2,66,,77.2,49.6,-14,-1,-2.0,-1.8,0,0,0,0,,0.0,7,-14,0,0,5,0,5,0,0,,5,1,1,271,1,78.8,45,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1992,"[""Notre Dame""]",DAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,152,0,1,27,,69.7,66.7,-7,-1,-1.8,-0.4,0,0,0,0,,0.0,4,-7,0,0,0,0,,0,0,,0,1,0,0,0,,,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1993,"[""Notre Dame""]",PHO,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,161,3164,18,17,65,,82.5,61.7,45,20,2.0,2.8,0,0,0,0,,0.0,22,45,0,8,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1994,"[""Notre Dame""]",ARI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,70,1545,5,9,63,,61.6,51.0,39,19,1.8,4.3,1,0,0,0,,0.0,22,39,1,8,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1995,"[""Notre Dame""]",JAX,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,39,952,4,7,71,,60.5,50.0,32,13,6.4,4.6,0,0,0,0,,0.0,5,32,0,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1996,"[""Notre Dame""]",CAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,57,879,8,2,40,,93.5,56.1,17,13,1.4,2.1,0,0,0,0,,0.0,12,17,0,9,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
Steve,Beuerlein,Steve Beuerlein,03/07/1965,4,110,BeueSt00,,1997,"[""Notre Dame""]",CAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,60,1032,6,3,52,,83.6,58.2,32,20,8.0,4.6,0,0,0,0,,0.0,4,32,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,496,1,21,5,0,24046,147
