first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1988,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,118,0,0,0,,,,,24,12,4.8,1.5,0,40,682,8,55,42.6,45,706,8,1,0,0,,78,0,24,78,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1989,"[""Miami (FL)""]",SEA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,134,,,,,,,,3,3,3.0,0.2,0,77,1063,5,60,66.4,78,1066,5,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1990,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,,,,,,,,19,12,6.3,1.2,0,49,525,3,24,32.8,52,544,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1991,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,113,,,,,,,,17,11,8.5,1.1,0,70,1003,2,52,62.7,72,1020,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1992,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,31,,,,,,,,5,5,5.0,0.8,0,19,256,1,37,42.7,20,261,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1993,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,117,,,,,,,,52,26,10.4,3.3,0,80,945,3,41,59.1,85,997,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1994,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,138,,,,,,,,32,40,16.0,2.0,0,81,1086,4,45,67.9,83,1118,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1995,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,125,,,,,,,,4,4,2.0,0.3,0,77,1001,4,49,62.6,79,1005,4,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1996,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,68,,,,,,,,0,,,0.0,0,43,556,2,80,50.5,43,556,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1997,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,0,,,0.0,0,30,319,2,27,29.0,30,319,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
Brian,Blades,Brian Blades,07/24/1965,2,49,BladBr00,,1998,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,15,184,0,47,11.5,15,184,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,156,581,7620,0,34,0,0
