first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,1993,"[""Washington St.""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,130,2494,15,15,54,,65.0,49.9,82,15,2.6,6.3,0,0,0,0,,0.0,32,82,0,8,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,1994,"[""Washington St.""]",NWE,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,222,4555,25,27,62,,73.6,57.9,40,7,0.9,2.5,0,0,0,0,,0.0,44,40,0,9,2,0,3,0,0,,2,0,3,235,1,38.3,24,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,1995,"[""Washington St.""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,152,3507,13,16,47,,63.7,50.8,28,15,1.4,1.9,0,1,-9,0,-9,-0.6,21,19,0,11,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,1996,"[""Washington St.""]",NWE,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,248,4086,27,15,84,,83.7,59.9,27,8,1.1,1.7,0,0,0,0,,0.0,24,27,0,9,4,0,4,0,0,,4,2,7,595,3,54.3,53,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,1997,"[""Washington St.""]",NWE,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,234,3706,28,15,76,,87.7,60.2,55,8,2.0,3.4,0,0,0,0,,0.0,28,55,0,4,0,0,4,0,0,,0,2,2,403,1,60.4,39,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,1998,"[""Washington St.""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,196,3633,20,14,86,,80.9,54.7,44,10,1.6,3.1,0,0,0,0,,0.0,28,44,0,9,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,1999,"[""Washington St.""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,200,3985,19,21,68,,75.6,56.6,101,25,2.4,6.3,0,0,0,0,,0.0,42,101,0,8,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,2000,"[""Washington St.""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,193,3291,17,13,59,,77.3,58.8,158,16,3.4,9.9,2,0,0,0,,0.0,47,158,2,9,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,2001,"[""Washington St.""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22,400,2,2,58,,75.3,60.6,18,8,3.6,9.0,0,0,0,0,,0.0,5,18,0,1,1,0,4,0,0,,1,0,0,102,1,77.9,18,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
Drew,Bledsoe,Drew Bledsoe,02/14/1972,1,1,BledDr00,,2002,"[""Washington St.""]",BUF,PB AP CPoY-3,QB,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,251,4359,24,15,73,,86.0,61.5,67,11,2.5,4.2,2,0,0,0,,0.0,27,67,2,11,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,764,1,-9,10,0,44611,251
