first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1968,"[""Notre Dame""]",PIT,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,39,21,6.5,3.9,0,3,68,0,54,6.8,9,107,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1969,"[""Notre Dame""]",Did not play - Military service,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1970,"[""Notre Dame""]",Did not play - Injured,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1971,"[""Notre Dame""]",PIT,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1972,"[""Notre Dame""]",PIT,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,17,17,17.0,1.2,0,0,0,0,,0.0,1,17,0,1,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1973,"[""Notre Dame""]",PIT,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-2,,,,,,,,0,,0.0,0.0,0,0,0,0,,0.0,3,0,0,2,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1974,"[""Notre Dame""]",PIT,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,56,,,,,,,,373,18,4.2,31.1,2,7,87,0,24,7.3,95,460,2,2,208,0,23,90,1,27,298,3,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1975,"[""Notre Dame""]",PIT,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,528,17,3.8,48.0,2,15,65,0,13,5.9,155,593,2,7,95,1,8,14,0,9,109,1,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1976,"[""Notre Dame""]",PIT,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,159,,,,,,,,1036,28,4.7,74.0,5,24,294,0,32,21.0,244,1330,5,4,-1,0,-1,0,0,,-1,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
Rocky,Bleier,Rocky Bleier,03/05/1946,16,417,BleiRo00,,1977,"[""Notre Dame""]",PIT,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,81,,,,,,,,465,16,3.4,35.8,4,18,161,0,30,12.4,153,626,4,6,14,0,5,10,0,7,24,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3865,136,1294,23,2,0,0
