first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1972,"[""Colorado""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,5,5,5.0,0.4,0,3,41,0,19,2.9,4,46,0,2,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1973,"[""Colorado""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,,,,,,,,0,,,0.0,0,19,290,3,54,22.3,19,290,3,0,0,0,,8,0,8,8,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1974,"[""Colorado""]",OAK,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,186,,,,,,,,0,,,0.0,0,60,1092,13,67,78.0,60,1092,13,1,0,0,,270,2,72,270,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1975,"[""Colorado""]",OAK,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,145,,,,,,,,18,15,9.0,1.3,0,51,893,9,53,63.8,53,911,9,0,0,0,,145,0,37,145,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1976,"[""Colorado""]",OAK,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,184,,,,,,,,12,10,4.0,0.9,0,46,1111,12,88,79.4,49,1123,12,0,0,0,,98,0,28,98,0,,,,,,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1977,"[""Colorado""]",OAK,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,90,,,,,,,,0,,,0.0,0,33,540,6,43,41.5,33,540,6,0,0,0,,172,0,41,172,1,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1978,"[""Colorado""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,,,,,,,,0,,,0.0,0,49,709,1,41,44.3,49,709,1,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1979,"[""Colorado""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,120,,,,,,,,4,4,4.0,0.3,0,59,844,6,66,60.3,60,848,6,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1980,"[""Colorado""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,128,,,,,,,,1,1,1.0,0.1,0,44,858,7,86,53.6,45,859,7,0,0,0,,201,2,48,201,0,,,,,,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1981,"[""Colorado""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,70,,,,,,,,0,,,0.0,0,41,635,1,53,39.7,41,635,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1982,"[""Colorado""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,83,,,,,,,,10,7,5.0,1.1,0,30,575,4,51,63.9,32,585,4,0,0,0,,203,0,64,203,2,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1983,"[""Colorado""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,102,,,,,,,,20,20,20.0,1.7,0,39,696,5,99,58.0,40,716,5,0,0,0,,192,1,50,192,1,,,,,,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1984,"[""Colorado""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,40,,,,,,,,0,,,0.0,0,27,401,0,47,28.6,27,401,0,0,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
Cliff,Branch,Cliff Branch,08/01/1948,4,98,BranCl00,,1985,"[""Colorado""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,70,501,8685,0,67,0,0
