first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1981,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,13,,,,,,,,0,,,0.0,0,7,143,0,34,15.9,7,143,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1982,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,16,171,0,25,21.4,16,171,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1983,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,,,,,,,,0,,,0.0,0,41,574,3,38,35.9,41,574,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1984,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,91,,,,,,,,0,,,0.0,0,28,554,6,57,34.6,28,554,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1985,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,,,,,,,,0,,,0.0,0,42,652,3,30,40.8,42,652,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1986,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,,,,,,,,0,,,0.0,0,18,286,0,34,19.1,18,286,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1987,"[""USC""]",NOR,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,40,,,,,,,,0,,,0.0,0,20,280,2,29,23.3,20,280,2,0,0,0,,33,0,25,33,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1988,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,0,,,0.0,0,5,67,0,24,6.7,5,67,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1989,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,63,,,,,,,,0,,,0.0,0,34,398,4,30,24.9,34,398,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
Hoby,Brenner,Hoby Brenner,06/02/1959,3,71,BrenHo00,,1990,"[""USC""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,,,,,,,,0,,,0.0,0,17,213,2,31,13.3,17,213,2,0,0,0,,17,0,17,17,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,267,3849,0,21,0,0
