first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1986,"[""Tulane"", ""La-Monroe""]",PIT,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14,291,0,2,58,,37.6,35.0,10,9,1.7,5.0,1,0,0,0,,0.0,6,10,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1987,"[""Tulane"", ""La-Monroe""]",PIT,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,20,0,3,10,,2.8,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1988,"[""Tulane"", ""La-Monroe""]",PIT,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,170,2634,11,14,89,,65.3,47.3,209,20,4.6,16.1,6,0,0,0,,0.0,45,209,6,8,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1989,"[""Tulane"", ""La-Monroe""]",PIT,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,108,2365,9,10,79,,73.1,54.7,25,15,0.9,1.8,0,1,-10,0,-10,-0.7,28,15,0,4,5,0,4,0,0,,5,0,0,356,1,77.1,33,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1990,"[""Tulane"", ""La-Monroe""]",PIT,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,158,2725,20,14,90,,81.6,57.6,64,11,2.6,4.0,0,0,0,0,,0.0,25,64,0,9,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1991,"[""Tulane"", ""La-Monroe""]",PIT,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,70,1350,9,9,65,,72.9,54.2,17,8,1.5,2.1,0,0,0,0,,0.0,11,17,0,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1992,"[""Tulane"", ""La-Monroe""]",PIT,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,26,719,2,5,42,,61.0,54.3,16,8,1.6,2.7,0,0,0,0,,0.0,10,16,0,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1993,"[""Tulane"", ""La-Monroe""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,123,1905,14,5,58,,84.9,58.6,39,13,2.0,3.9,0,0,0,0,,0.0,20,39,0,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1994,"[""Tulane"", ""La-Monroe""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,27,507,2,1,53,,89.1,67.1,7,7,7.0,1.0,0,0,0,0,,0.0,1,7,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1995,"[""Tulane"", ""La-Monroe""]",NYJ,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,726,4,8,32,,53.7,54.7,18,7,1.1,2.0,0,1,2,0,2,0.2,17,20,0,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
Bubby,Brister,Bubby Brister,08/15/1962,3,67,BrisBu00,,1997,"[""Tulane"", ""La-Monroe""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,48,0,0,15,,79.9,66.7,2,2,0.5,2.0,0,0,0,0,,0.0,4,2,0,0,,,,,,,,,,0,0,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,546,2,-8,8,0,14445,81
