first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2016,"[""Florida"", ""North Carolina St.""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,28,400,0,0,58,40.2,83.9,61.8,83,27,5.2,27.7,1,0,0,0,,0.0,16,83,1,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2017,"[""Florida"", ""North Carolina St.""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,206,3098,13,7,80,44.0,81.7,58.8,260,25,4.1,16.3,4,0,0,0,,0.0,63,260,4,8,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2018,"[""Florida"", ""North Carolina St.""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,2,0,0,4,100.0,56.2,50.0,-7,-1,-1.0,-1.8,0,0,0,0,,0.0,7,-7,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2019,"[""Florida"", ""North Carolina St.""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,217,2942,18,6,50,52.1,88.0,60.9,228,24,4.1,15.2,4,1,2,0,2,0.1,57,230,4,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2020,"[""Florida"", ""North Carolina St.""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,21,17,0,0,13,58.3,39.6,25.0,19,5,1.1,1.7,3,0,0,0,,0.0,17,19,3,0,0,0,,0,0,,0,0,0,0,0,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2021,"[""Florida"", ""North Carolina St.""]",MIA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,1283,5,4,52,54.3,78.1,62.7,70,19,3.7,6.4,1,0,0,0,,0.0,19,70,1,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2022,"[""Florida"", ""North Carolina St.""]",CLE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,169,2608,12,6,55,62.0,88.9,64.0,243,22,5.0,15.2,2,0,0,0,,0.0,49,243,2,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2023,"[""Florida"", ""North Carolina St.""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,23,224,3,0,48,95.7,146.8,78.3,19,10,6.3,6.3,0,0,0,0,,0.0,3,19,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2024,"[""Florida"", ""North Carolina St.""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,45,826,2,1,50,41.5,74.2,59.0,62,16,4.1,7.8,0,0,0,0,,0.0,15,62,0,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
Jacoby,Brissett,Jacoby Brissett,12/11/1992,3,91,BrisJa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2578570.png&w=350&h=254,2025,"[""Florida"", ""North Carolina St.""]",ARI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,227,3366,23,8,50,41.2,94.1,64.9,168,15,4.4,12.0,1,0,0,0,,0.0,38,168,1,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1145,1,2,16,0,14766,76
