first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1981,"[""Auburn""]",SDG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,114,,,,,,,,525,28,4.8,37.5,3,46,329,3,29,23.5,155,854,6,7,42,0,14,36,2,9,78,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1982,"[""Auburn""]",SDG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,,,,,,,,430,48,4.9,47.8,6,13,66,0,12,7.3,100,496,6,4,29,1,18,29,0,14,58,3,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1983,"[""Auburn""]",SDG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,83,,,,,,,,516,61,4.1,34.4,3,25,215,0,36,14.3,152,731,3,8,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1984,"[""Auburn""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,86,,,,,,,,396,33,3.8,26.4,2,34,268,2,27,17.9,137,664,4,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1985,"[""Auburn""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,220,8,1,0,8,,139.6,100.0,929,39,4.8,58.1,7,55,576,5,57,36.0,247,1505,12,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1986,"[""Auburn""]",CIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,229,0,0,0,,,39.6,0.0,1087,56,5.3,67.9,5,54,686,4,54,42.9,259,1773,9,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1987,"[""Auburn""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,74,,,,,,,,290,18,3.1,32.2,1,22,272,2,46,30.2,116,562,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1988,"[""Auburn""]",CIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,205,,,,,,,,931,51,5.1,62.1,8,29,287,6,28,19.1,211,1218,14,1,102,0,26,62,1,20,164,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1989,"[""Auburn""]",CIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,200,,,,,,,,1239,65,5.6,77.4,7,37,306,2,25,19.1,258,1545,9,9,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1990,"[""Auburn""]",CIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,178,,,,,,,,1004,56,5.1,62.8,5,26,269,4,35,16.8,221,1273,9,3,43,0,14,22,0,22,65,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1991,"[""Auburn""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,111,,,,,,,,571,25,3.8,38.1,2,40,348,2,40,23.2,192,919,4,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1992,"[""Auburn""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,44,13,2.4,7.3,0,2,-1,0,4,-0.2,20,43,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1992,"[""Auburn""]",CLE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,38,13,2.9,9.5,0,2,-1,0,4,-0.3,15,37,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
James,Brooks,James Brooks,12/28/1958,1,24,BrooJa00,,1992,"[""Auburn""]",TAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,6,4,1.2,3.0,0,0,0,0,,0.0,5,6,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7962,383,3621,49,30,8,1
