first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2010,"[""Central Michigan""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,21,,,,,,,,0,,,0.0,0,16,167,0,26,18.6,16,167,0,1,0,0,,90,0,58,90,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2011,"[""Central Michigan""]",PIT,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,133,,,,,,,,41,10,5.9,2.6,0,69,1108,2,79,69.3,76,1149,2,0,18,0,18,70,0,25,88,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2012,"[""Central Michigan""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,0,0,1,,0.0,0.0,0.0,24,13,3.4,1.8,0,66,787,5,60,60.5,73,811,5,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2013,"[""Central Michigan""]",PIT,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,205,15,0,0,15,17.5,118.7,100.0,4,10,0.6,0.3,0,110,1499,8,56,93.7,117,1503,8,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2014,"[""Central Michigan""]",PIT,PB AP-1 AP OPoY-3,WR,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,258,20,1,0,17,100.0,147.9,100.0,13,9,3.3,0.8,0,129,1698,13,63,106.1,133,1711,13,2,0,0,,117,0,44,117,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2015,"[""Central Michigan""]",PIT,PB AP-1 AP OPoY-2,WR,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,252,0,0,0,,0.0,,,28,16,9.3,1.8,0,136,1834,10,59,114.6,139,1862,10,3,0,0,,119,0,60,119,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2016,"[""Central Michigan""]",PIT,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,201,,,,,,,,9,13,3.0,0.6,0,106,1284,12,51,85.6,109,1293,12,0,0,0,,309,2,62,309,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2017,"[""Central Michigan""]",PIT,PB AP-1 AP OPoY-2,WR,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,209,,,,,,,,0,,,0.0,0,101,1533,9,57,109.5,101,1533,9,4,0,0,,132,2,43,132,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2018,"[""Central Michigan""]",PIT,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,220,0,0,0,,2.7,39.6,0.0,0,,,0.0,0,104,1297,15,78,86.5,104,1297,15,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
Antonio,Brown,Antonio Brown,07/10/1988,6,195,BrowAn04,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png&w=350&h=254,2019,"[""Central Michigan""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12,,,,,,,,5,5,5.0,5.0,0,4,56,1,20,56.0,5,61,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,128,928,12291,0,83,35,1
