first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,1992,"[""Duke""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,21,0,0,8,,62.2,57.1,-1,1,-0.5,-0.5,0,0,0,0,,0.0,2,-1,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,1993,"[""Duke""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,,,,-4,-1,-1.3,-4.0,0,0,0,0,,0.0,3,-4,0,0,8,0,8,0,0,,8,0,1,56,0,35.8,14,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,1994,"[""Duke""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,139,2536,12,16,53,,72.5,57.4,196,21,3.3,13.1,2,0,0,0,,0.0,60,196,2,11,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,1995,"[""Duke""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,175,2814,11,10,57,,73.1,55.7,228,23,5.1,14.3,4,0,0,0,,0.0,45,228,4,10,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,1996,"[""Duke""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,109,2412,12,20,37,,61.3,53.8,170,18,3.4,10.6,0,0,0,0,,0.0,50,170,0,9,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,1997,"[""Duke""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,62,1023,5,3,62,,71.1,51.7,29,7,1.7,4.1,1,0,0,0,,0.0,17,29,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,1998,"[""Duke""]",ARI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,31,0,0,19,,61.2,40.0,2,2,2.0,2.0,0,0,0,0,,0.0,1,2,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,1999,"[""Duke""]",ARI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,37,944,2,6,71,,55.9,49.7,49,10,3.8,6.1,0,0,0,0,,0.0,13,49,0,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,2000,"[""Duke""]",ARI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,17,467,2,3,44,,70.1,58.0,0,,0.0,0.0,0,0,0,0,,0.0,1,0,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
Dave,Brown,Dave Brown,02/25/1970,1,1,BrowDa00,,2001,"[""Duke""]",ARI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,669,0,0,7,0,10248,44
