first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2014,"[""Pittsburg St.""]",ARI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,99,,,,,,,,-6,2,-2.0,-0.4,0,48,696,5,75,43.5,51,690,5,0,0,0,,34,0,21,34,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2015,"[""Pittsburg St.""]",ARI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,143,,,,,,,,22,13,7.3,1.5,0,65,1003,7,68,66.9,68,1025,7,1,2,0,2,105,0,21,107,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2016,"[""Pittsburg St.""]",ARI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,65,,,,,,,,10,10,10.0,0.7,0,39,517,2,30,34.5,40,527,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2017,"[""Pittsburg St.""]",ARI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,49,,,,,,,,10,10,10.0,1.0,0,21,299,3,52,29.9,22,309,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2018,"[""Pittsburg St.""]",BAL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,102,,,,,,,,4,3,1.3,0.3,0,42,715,5,71,44.7,45,719,5,0,0,0,,14,0,9,14,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2019,"[""Pittsburg St.""]",BUF,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,148,28,1,0,28,100.0,158.3,100.0,7,4,3.5,0.5,0,72,1060,6,53,70.7,74,1067,6,0,0,0,,50,0,28,50,0,0,16,1,158.3,16,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2020,"[""Pittsburg St.""]",BUF,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,0,,,0.0,0,33,458,3,46,50.9,33,458,3,0,0,0,,86,0,21,86,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2021,"[""Pittsburg St.""]",3TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2021,"[""Pittsburg St.""]",DEN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
John,Brown,John Brown,04/03/1990,3,91,BrowJo02,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png&w=350&h=254,2021,"[""Pittsburg St.""]",JAX,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,321,4790,0,32,28,1
