first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1988,"[""Notre Dame""]",RAI,PB AP ORoY-4,WR,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,115,,,,,,,,50,12,3.6,3.1,1,43,725,5,65,45.3,57,775,6,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1989,"[""Notre Dame""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,1,8,0,8,8.0,1,8,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1990,"[""Notre Dame""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,0,,,0.0,0,18,265,3,51,16.6,18,265,3,3,0,0,,59,0,26,59,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1991,"[""Notre Dame""]",RAI,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,92,,,,,,,,16,9,3.2,1.0,0,36,554,5,78,34.6,41,570,5,1,0,0,,45,0,16,45,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1992,"[""Notre Dame""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,,,,,,,,-4,3,-1.3,-0.3,0,49,693,7,68,46.2,52,689,7,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1993,"[""Notre Dame""]",RAI,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,166,,,,,,,,7,14,3.5,0.4,0,80,1180,7,71,73.8,82,1187,7,1,0,0,,213,2,86,213,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1994,"[""Notre Dame""]",RAI,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,179,,,,,,,,0,,,0.0,0,89,1309,9,77,81.8,89,1309,9,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1995,"[""Notre Dame""]",OAK,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,194,,,,,,,,0,,,0.0,0,89,1342,10,80,83.9,89,1342,10,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1996,"[""Notre Dame""]",OAK,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,162,,,,,,,,35,15,5.8,2.2,0,90,1104,9,42,69.0,96,1139,9,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
Tim,Brown,Tim Brown,07/22/1966,1,6,BrowTi00,,1997,"[""Notre Dame""]",OAK,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,173,,,,,,,,19,12,3.8,1.2,0,104,1408,5,59,88.0,109,1427,5,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,190,1094,14934,1,100,0,0
