first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,1993,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,2,22,0,14,1.8,2,22,0,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,1994,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-4,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,2,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,1995,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22,,,,,,,,0,,,0.0,0,14,159,0,31,9.9,14,159,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,1996,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22,,,,,,,,0,,,0.0,0,21,222,0,38,13.9,21,222,0,0,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,1997,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,95,,,,,,,,-18,-18,-18.0,-1.1,0,41,607,6,67,37.9,42,589,6,0,0,0,,38,1,24,38,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,1998,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,,,,,,,,0,,,0.0,0,23,346,1,52,34.6,23,346,1,0,0,0,,46,0,21,46,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,1999,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,0,0,0,,,39.6,0.0,0,,,0.0,0,36,471,1,37,36.2,36,471,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,2000,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,125,,,,,,,,46,35,7.7,2.9,0,83,944,4,44,59.0,89,990,4,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,2001,"[""Marshall""]",NWE,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,169,,,,,,,,91,31,8.3,5.7,0,101,1199,5,60,74.9,112,1290,5,2,-9,0,-9,253,0,29,244,2,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
Troy,Brown,Troy Brown,07/02/1971,8,198,BrowTr00,,2002,"[""Marshall""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,108,,,,,,,,14,21,4.7,1.0,0,97,890,3,38,63.6,100,904,3,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,178,557,6366,0,31,0,0
