first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,1994,"[""Washington""]",GNB,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,95,0,0,25,,53.8,44.4,7,5,1.2,3.5,1,0,0,0,,0.0,6,7,1,1,26,0,11,0,0,,26,0,0,25,0,39.6,16,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,1995,"[""Washington""]",JAX,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,203,2168,15,7,45,,82.6,58.1,480,27,7.2,36.9,4,0,0,0,,0.0,67,480,4,5,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,1996,"[""Washington""]",JAX,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,272,4367,19,20,62,,84.0,63.4,396,33,5.0,24.8,3,0,0,0,,0.0,80,396,3,14,87,0,29,0,0,,87,1,4,674,3,70.2,47,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,1997,"[""Washington""]",JAX,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,225,3281,18,7,75,,91.2,60.7,257,15,5.4,18.4,2,0,0,0,,0.0,48,257,2,4,4,0,5,0,0,,4,1,1,203,0,62.4,37,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,1998,"[""Washington""]",JAX,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,183,2601,20,9,78,,89.9,58.8,192,18,3.9,14.8,0,0,0,0,,0.0,49,192,0,3,7,0,7,0,0,,7,1,3,317,4,57.0,52,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,1999,"[""Washington""]",JAX,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,191,3060,14,9,62,,82.0,58.7,208,15,4.4,13.9,1,0,0,0,,0.0,47,208,1,6,5,0,6,0,0,,5,2,2,331,3,77.5,41,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,2000,"[""Washington""]",JAX,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,227,3640,20,14,67,,84.0,60.7,236,16,4.9,14.8,2,0,0,0,,0.0,48,236,2,7,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,2001,"[""Washington""]",JAX,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,207,3309,19,13,44,,84.1,61.1,224,38,5.7,14.9,1,0,0,0,,0.0,39,224,1,8,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,2002,"[""Washington""]",JAX,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,188,2788,17,7,79,,85.7,58.9,207,27,4.8,13.8,0,0,0,0,,0.0,43,207,0,5,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,2003,"[""Washington""]",JAX,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,484,2,0,65,,89.7,65.9,19,12,2.4,6.3,1,0,0,0,,0.0,8,19,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
Mark,Brunell,Mark Brunell,09/17/1970,5,118,BrunMa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/445.png&w=350&h=254,2004,"[""Washington""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,66,1194,7,6,49,,63.9,49.8,62,21,3.3,6.9,0,0,0,0,,0.0,19,62,0,6,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,2421,0,0,15,0,32072,184
