first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1973,"[""Colorado""]",RAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1974,"[""Colorado""]",RAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,,,,,,,,24,7,2.4,1.7,0,2,14,0,8,1.0,12,38,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1975,"[""Colorado""]",RAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,78,,,,,,,,467,18,4.0,33.4,2,20,229,0,31,16.4,137,696,2,4,10,0,8,54,0,28,64,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1976,"[""Colorado""]",RAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,64,12,3.0,4.6,2,2,28,0,25,2.0,23,92,2,2,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1977,"[""Colorado""]",RAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,,,,,,,,42,24,7.0,3.0,0,4,28,0,14,2.0,10,70,0,1,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1978,"[""Colorado""]",RAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,115,,,,,,,,658,26,3.7,41.1,7,8,76,0,37,4.8,186,734,7,0,152,1,17,15,0,8,167,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1979,"[""Colorado""]",RAM,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,113,,,,,,,,619,15,3.5,38.7,5,31,227,0,24,14.2,208,846,5,2,203,1,14,63,0,16,266,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1980,"[""Colorado""]",RAM,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,154,,,,,,,,807,20,4.4,50.4,3,53,386,3,25,24.1,236,1193,6,1,44,0,14,7,0,5,51,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1981,"[""Colorado""]",RAM,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,65,,,,,,,,436,20,4.0,33.5,1,22,160,0,39,12.3,131,596,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
Cullen,Bryant,Cullen Bryant,05/20/1951,2,31,BryaCu00,,1982,"[""Colorado""]",RAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3264,148,1176,20,3,0,0
