first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2013,"[""Nebraska""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2014,"[""Nebraska""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14,,,,,,,,27,10,3.0,3.0,1,7,49,0,15,5.4,16,76,1,0,23,0,23,34,0,26,57,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2015,"[""Nebraska""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14,,,,,,,,4,2,1.0,0.3,0,10,94,1,27,5.9,14,98,1,1,4,0,4,5,0,5,9,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2016,"[""Nebraska""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,59,,,,,,,,344,17,4.6,21.5,2,17,145,0,18,9.1,91,489,2,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2017,"[""Nebraska""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100,,,,,,,,264,31,4.1,26.4,5,30,254,3,23,25.4,94,518,8,1,23,0,9,46,0,46,69,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2018,"[""Nebraska""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,36,,,,,,,,186,12,3.3,23.3,0,14,131,1,25,16.4,71,317,1,2,96,3,26,45,0,8,141,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2019,"[""Nebraska""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,74,,,,,,,,302,33,4.6,23.2,3,27,279,0,32,21.5,92,581,3,1,4,0,4,32,0,12,36,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2020,"[""Nebraska""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,83,,,,,,,,274,18,4.1,27.4,3,25,192,3,24,19.2,92,466,6,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2021,"[""Nebraska""]",HOU,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,0,0,0,,3.0,39.6,0.0,427,36,3.5,26.7,3,25,186,0,20,11.6,147,613,3,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
Rex,Burkhead,Rex Burkhead,07/02/1990,6,190,BurkRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png&w=350&h=254,2022,"[""Nebraska""]",HOU,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,40,0,0,0,,3.2,39.6,0.0,80,9,3.1,5.0,0,37,204,1,17,12.8,63,284,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1908,192,1534,17,9,0,0
