first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2003,"[""Nevada""]",MIN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,56,,,,,,,,0,,,0.0,0,29,455,2,52,28.4,29,455,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2004,"[""Nevada""]",MIN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,168,,,,,,,,49,11,8.2,3.1,0,68,1006,9,68,62.9,74,1055,9,1,0,0,,110,1,29,110,2,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2005,"[""Nevada""]",MIN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,38,,,,,,,,-6,-2,-3.0,-0.5,0,30,328,1,20,27.3,32,322,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2006,"[""Nevada""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,,,,,,,,0,,,0.0,0,18,192,2,36,12.0,18,192,2,2,0,0,,16,1,16,16,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2007,"[""Nevada""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,134,,,,,,,,4,3,2.0,0.3,0,50,694,9,45,43.4,52,698,9,3,0,0,,97,0,25,97,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2008,"[""Nevada""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12,,,,,,,,0,,,0.0,0,5,60,1,20,60.0,5,60,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2009,"[""Nevada""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,96,,,,,,,,4,2,2.0,0.3,0,63,812,3,44,62.5,65,816,3,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2010,"[""Nevada""]",DET,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,103,,,,,,,,81,25,11.6,5.8,0,55,625,6,58,44.6,62,706,6,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2011,"[""Nevada""]",DET,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100,,,,,,,,85,20,7.7,5.3,0,73,757,3,47,47.3,84,842,3,1,2,0,2,50,0,21,52,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
Nate,Burleson,Nate Burleson,08/19/1981,3,71,BurlNa00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4529.png&w=350&h=254,2012,"[""Nevada""]",DET,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,43,,,,,,,,48,16,6.0,8.0,0,27,240,2,26,40.0,35,288,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,457,5630,0,39,0,0
