first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1970,"[""Texas Southern""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,,,,,,,,4,4,4.0,0.3,0,13,196,2,35,16.3,14,200,2,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1971,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,43,,,,,,,,0,,,0.0,0,25,370,1,62,28.5,25,370,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1972,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,76,,,,,,,,0,,,0.0,0,26,521,4,80,37.2,26,521,4,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1973,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,78,,,,,,,,38,34,7.6,2.7,1,43,577,2,49,41.2,48,615,3,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1974,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,60,,,,,,,,0,,0.0,0.0,0,36,492,2,51,44.7,37,492,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1975,"[""Texas Southern""]",HOU,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,153,,,,,,,,0,,,0.0,0,53,1063,8,77,75.9,53,1063,8,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1976,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,137,,,,,,,,22,12,7.3,1.6,0,51,932,7,69,66.6,54,954,7,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1977,"[""Texas Southern""]",HOU,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,127,0,0,0,,,39.6,0.0,10,28,2.5,0.7,0,43,816,8,85,58.3,47,826,8,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1978,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73,0,0,0,,,39.6,0.0,-11,1,-3.7,-0.7,0,47,624,2,44,39.0,50,613,2,0,0,0,,194,1,71,194,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1979,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,110,0,0,0,,,39.6,0.0,0,,,0.0,0,40,752,6,55,47.0,40,752,6,1,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1980,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,,,,,,,,0,,,0.0,0,4,91,0,54,45.5,4,91,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
Ken,Burrough,Ken Burrough,07/14/1948,1,10,BurrKe00,,1981,"[""Texas Southern""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,108,,,,,,,,0,,,0.0,0,40,668,7,71,41.8,40,668,7,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,63,421,7102,1,49,0,0
