first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2006,"[""USC""]",NOR,AP ORoY-5,RB,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,179,0,0,1,,0.0,0.0,0.0,565,18,3.6,35.3,6,88,742,2,74,46.4,243,1307,8,2,71,1,25,154,1,88,225,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2007,"[""USC""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,134,,,,,,,,581,22,3.7,48.4,4,73,417,2,25,34.8,230,998,6,8,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2008,"[""USC""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,134,,,,,,,,404,43,3.8,40.4,2,52,440,4,42,44.0,158,844,6,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2009,"[""USC""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,117,,,,,,,,390,55,5.6,27.9,5,47,335,3,29,23.9,117,725,8,4,117,1,46,95,1,28,212,1,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2010,"[""USC""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,150,23,4.2,18.8,0,34,208,1,20,26.0,70,358,1,2,12,0,4,37,0,14,49,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2011,"[""USC""]",MIA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,176,,,,,,,,1086,76,5.0,72.4,6,43,296,1,34,19.7,259,1382,7,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2012,"[""USC""]",MIA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,172,,,,,,,,986,65,4.3,61.6,6,35,292,2,25,18.3,262,1278,8,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2013,"[""USC""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,185,,,,,,,,1006,39,4.5,71.9,4,54,506,3,77,36.1,277,1512,7,5,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2014,"[""USC""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,67,,,,,,,,297,26,3.9,27.0,2,40,253,0,28,23.0,116,550,2,0,37,1,18,10,0,9,47,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2015,"[""USC""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,28,9,3.5,5.6,0,4,19,0,8,3.8,12,47,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
Reggie,Bush,Reggie Bush,03/02/1985,1,2,BushRe00,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9588.png&w=350&h=254,2016,"[""USC""]",BUF,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,17,,,,,,,,-3,5,-0.3,-0.2,1,7,90,0,25,6.9,19,87,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5490,477,3598,36,18,0,0
