first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1974,"[""Oklahoma"", ""Texas-Arlington""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,,,,,,,,22,9,2.4,2.0,0,4,24,0,8,2.2,13,46,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1975,"[""Oklahoma"", ""Texas-Arlington""]",DET,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,104,,,,,,,,696,32,4.4,53.5,2,14,175,2,65,13.5,171,871,4,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1976,"[""Oklahoma"", ""Texas-Arlington""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,120,,,,,,,,858,46,4.4,61.3,3,28,218,0,27,15.6,224,1076,3,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1977,"[""Oklahoma"", ""Texas-Arlington""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73,,,,,,,,338,31,4.0,42.3,4,11,116,1,39,14.5,96,454,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1978,"[""Oklahoma"", ""Texas-Arlington""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,147,,,,,,,,924,36,4.1,57.8,5,31,275,1,18,17.2,256,1199,6,9,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1979,"[""Oklahoma"", ""Texas-Arlington""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,76,,,,,,,,625,38,4.3,39.1,1,15,102,0,22,6.4,159,727,1,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1980,"[""Oklahoma"", ""Texas-Arlington""]",DET,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,124,,,,,,,,720,40,5.0,45.0,3,39,364,0,30,22.8,184,1084,3,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1981,"[""Oklahoma"", ""Texas-Arlington""]",DET,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,,,,,,,,446,23,4.2,27.9,0,18,92,0,16,5.8,123,538,0,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1982,"[""Oklahoma"", ""Texas-Arlington""]",DET,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,136,10,2.8,15.1,0,16,138,0,21,15.3,64,274,0,2,19,0,9,-2,0,-2,17,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1983,"[""Oklahoma"", ""Texas-Arlington""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,,,,,,,,249,26,4.4,16.6,0,8,49,1,14,3.3,65,298,1,1,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
Dexter,Bussey,Dexter Bussey,03/11/1952,3,65,BussDe00,,1984,"[""Oklahoma"", ""Texas-Arlington""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15,,,,,,,,91,18,2.8,5.7,0,9,63,0,19,3.9,41,154,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5105,193,1616,18,5,0,0
