first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1986,"[""Ohio St.""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,71,55,1,0,55,,135.4,50.0,577,32,3.3,36.1,1,11,44,0,17,2.8,188,621,1,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1987,"[""Ohio St.""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,81,,,,,,,,426,30,3.7,42.6,3,21,177,1,30,17.7,137,603,4,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1988,"[""Ohio St.""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,177,0,0,0,,,39.6,0.0,517,52,3.4,32.3,6,72,705,4,37,44.1,224,1222,10,5,34,0,13,103,0,24,137,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1989,"[""Ohio St.""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,143,,,,,,,,452,16,3.4,28.3,5,68,721,0,60,45.1,201,1173,5,4,0,0,,68,0,17,68,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1990,"[""Ohio St.""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,128,53,4,0,18,,158.3,100.0,141,23,3.8,8.8,0,81,819,3,54,51.2,118,960,3,4,0,0,,18,0,10,18,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1991,"[""Ohio St.""]",PHI,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,112,0,0,1,,,0.0,0.0,383,28,4.1,23.9,1,62,564,3,37,35.3,156,947,4,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1992,"[""Ohio St.""]",PHI,,TE/FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,85,0,0,0,,,39.6,0.0,176,23,4.3,11.7,1,56,502,2,46,33.5,97,678,3,1,0,0,,68,0,15,68,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1993,"[""Ohio St.""]",MIA,PB,FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,126,11,1,0,11,,106.2,50.0,269,77,4.2,16.8,3,61,613,3,27,38.3,125,882,6,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1994,"[""Ohio St.""]",MIA,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,90,,,,,,,,64,12,3.4,7.1,2,49,418,5,34,46.4,68,482,7,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
Keith,Byars,Keith Byars,10/14/1963,1,10,ByarKe00,,1995,"[""Ohio St.""]",MIA,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,59,,,,,,,,44,15,2.9,2.8,1,51,362,2,26,22.6,66,406,3,0,22,0,10,30,0,12,52,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,3109,610,5661,23,31,119,6
