first_name,last_name,full_name,dob,draft_round,draft_overall,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1984,"[""East Carolina""]",CLE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,,,,,,,,426,54,5.9,26.6,2,11,118,0,26,7.4,83,544,2,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1985,"[""East Carolina""]",CLE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,201,,,,,,,,1002,36,4.1,62.6,8,45,460,2,31,28.8,289,1462,10,5,161,2,66,25,0,8,186,0,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1986,"[""East Carolina""]",CLE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,84,,,,,,,,277,37,2.9,39.6,2,37,328,2,40,46.9,131,605,4,1,0,0,,4,0,4,4,0,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1987,"[""East Carolina""]",CLE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,153,,,,,,,,432,21,4.1,36.0,8,52,552,2,37,46.0,157,984,10,5,189,2,25,156,2,53,345,2,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1988,"[""East Carolina""]",CLE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,140,,,,,,,,576,27,3.7,36.0,3,59,576,2,39,36.0,216,1152,5,5,57,0,16,10,0,8,67,0,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1989,"[""East Carolina""]",WAS,,RB/FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,156,0,0,0,,,39.6,0.0,580,24,4.3,36.3,7,54,458,2,27,28.6,188,1038,9,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1990,"[""East Carolina""]",WAS,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,195,31,1,0,31,,135.4,50.0,1219,22,4.1,76.2,6,31,279,1,19,17.4,328,1498,7,2,100,0,16,77,0,23,177,0,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1991,"[""East Carolina""]",WAS,PB AP-2,RB,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,167,18,1,0,18,,85.4,25.0,1048,32,3.8,65.5,5,34,308,0,31,19.3,308,1356,5,3,168,0,19,35,1,11,203,0,,,,,,true,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1992,"[""East Carolina""]",WAS,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,180,41,1,0,41,,121.5,33.3,998,23,3.8,62.4,6,39,338,1,29,21.1,301,1336,7,1,91,1,11,51,0,21,142,0,0,0,0,39.6,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1993,"[""East Carolina""]",WAS,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,36,,,,,,,,105,16,4.6,6.6,1,27,194,0,20,12.1,50,299,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1994,"[""East Carolina""]",CLE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,44,,,,,,,,219,15,2.9,13.7,2,11,102,0,30,6.4,86,321,2,0,73,0,9,30,0,14,103,0,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1995,"[""East Carolina""]",CLE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,117,,,,,,,,432,23,3.8,27.0,2,61,494,2,29,30.9,176,926,4,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1996,"[""East Carolina""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,118,,,,,,,,634,42,4.0,39.6,4,30,270,1,40,16.9,189,904,5,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
Earnest,Byner,Earnest Byner,09/15/1962,10,280,ByneEa00,,1997,"[""East Carolina""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,44,,,,,,,,313,19,3.7,19.6,0,21,128,0,17,8.0,105,441,0,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,8261,512,4605,56,15,90,3
