first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Michigan""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18,,,,,,,,0,,,0.0,0,10,124,1,20,7.8,10,124,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Michigan""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,31,,,,,,,,0,,,0.0,0,15,254,1,33,21.2,15,254,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Michigan""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,40,,,,,,,,0,,,0.0,0,27,335,1,28,20.9,27,335,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Michigan""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,,,,,,,,0,,,0.0,0,35,513,3,47,32.1,35,513,3,0,0,0,,54,0,18,54,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Michigan""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,84,,,,,,,,77,20,9.6,4.8,0,43,666,2,51,41.6,51,743,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Michigan""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,97,,,,,,,,-9,-3,-4.5,-0.6,0,56,796,3,49,49.8,58,787,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Michigan""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,96,,,,,,,,2,2,2.0,0.1,0,53,739,4,36,46.2,54,741,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Michigan""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,133,,,,,,,,-1,-1,-1.0,-0.1,0,58,849,8,68,53.1,59,848,8,0,0,0,,53,0,21,53,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Michigan""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,115,,,,,,,,0,,,0.0,0,62,812,6,36,50.8,62,812,6,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Michigan""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,37,,,,,,,,0,,,0.0,0,22,314,1,33,28.5,22,314,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
Chris,Calloway,Chris Calloway,03/29/1968,CallCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Michigan""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,,,,,,,,0,,,0.0,0,5,95,0,28,13.6,5,95,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,386,5497,0,30,0,0
