first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""Texas""]",HOU,PB AP-1 AP MVP-2 OPoY-1 ORoY-1,RB,true,false,true,true,true,true,true,true,true,true,false,false,false,true,true,false,219,,,,,,,,1450,81,4.8,96.7,13,12,48,0,20,3.2,314,1498,13,9,264,2,35,27,0,13,291,4,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Texas""]",HOU,PB AP-1 AP MVP-1 OPoY-1,RB,true,false,true,true,true,true,true,false,false,false,false,false,false,true,true,true,285,,,,,,,,1697,61,4.6,106.1,19,16,94,0,46,5.9,384,1791,19,8,65,1,9,18,0,11,83,1,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Texas""]",HOU,PB AP-1 AP MVP-2 OPoY-1,RB,true,false,true,true,true,true,true,false,false,false,false,false,false,true,true,false,278,57,1,0,57,,135.4,50.0,1934,55,5.2,128.9,13,11,47,0,10,3.1,384,1981,13,4,91,1,14,0,0,,91,1,0,0,0,39.6,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Texas""]",HOU,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,203,,,,,,,,1376,43,3.8,86.0,10,36,156,0,17,9.8,397,1532,10,10,,,,,,,,,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Texas""]",HOU,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,0,0,1,,,0.0,0.0,538,22,3.4,59.8,2,18,130,0,46,14.4,175,668,2,2,,,,,,,,,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Texas""]",HOU,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,220,,,,,,,,1301,42,4.0,92.9,12,19,216,0,66,15.4,341,1517,12,4,,,,,,,,,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Texas""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,,,,,,,,468,22,3.2,33.4,4,3,27,0,15,1.9,149,495,4,2,,,,,,,,,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Texas""]",HOU,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,,,,,,,,278,22,2.9,46.3,4,3,27,0,15,4.5,99,305,4,2,,,,,,,,,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Texas""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,,,,,,,,190,19,3.8,23.8,0,0,0,0,,0.0,50,190,0,0,,,,,,,,,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
Earl,Campbell,Earl Campbell,03/29/1955,CampEa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Texas""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,,,,,,,,643,45,4.1,40.2,1,6,88,0,39,5.5,164,731,1,4,,,,,,,,,,,,,,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,9407,121,806,74,0,57,1
