first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Fresno St.""]",HOU,AP ORoY-3,QB,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,146,2592,9,15,81,,62.8,52.5,282,20,4.8,17.6,3,0,0,0,,0.0,59,282,3,21,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Fresno St.""]",HOU,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,118,2013,9,13,78,,69.5,56.6,151,36,5.6,12.6,2,0,0,0,,0.0,27,151,2,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Fresno St.""]",HOU,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,201,3531,16,14,69,,83.5,61.2,299,24,4.1,18.7,0,0,0,0,,0.0,73,299,0,10,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Fresno St.""]",HOU,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,160,2488,14,11,53,,77.2,60.5,308,20,5.5,19.3,1,0,0,0,,0.0,56,308,1,17,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Fresno St.""]",HOU,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,152,2767,11,12,53,45.8,82.1,68.3,195,16,3.7,12.2,2,0,0,0,,0.0,53,195,2,16,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Fresno St.""]",CAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,635,3,5,38,20.0,58.3,53.7,59,15,3.5,9.8,0,0,0,0,,0.0,17,59,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Fresno St.""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14,115,2,0,27,88.2,144.1,75.0,10,7,1.3,3.3,0,0,0,0,,0.0,8,10,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Fresno St.""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22,225,1,0,37,70.7,93.6,63.6,27,12,3.0,4.5,1,0,0,0,,0.0,9,27,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2010,"[""Fresno St.""]",SFO,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,67,0,1,22,4.6,23.6,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
David,Carr,David Carr,07/21/1979,CarrDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2012,"[""Fresno St.""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,19,0,0,15,2.3,84.0,66.7,-3,-1,-1.0,-1.5,0,0,0,0,,0.0,3,-3,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1328,0,0,9,0,14452,65
