first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2014,"[""Fresno St.""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,192,3270,21,12,77,42.1,76.6,58.1,92,41,3.2,5.8,0,0,0,0,,0.0,29,92,0,10,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2015,"[""Fresno St.""]",OAK,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,271,3987,32,13,68,43.1,91.1,61.1,138,24,4.2,8.6,0,0,0,0,,0.0,33,138,0,10,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2016,"[""Fresno St.""]",OAK,PB AP MVP-3 OPoY-6,QB,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,false,268,3937,28,6,75,56.1,96.7,63.8,70,13,1.8,4.7,0,0,0,0,,0.0,39,70,0,5,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2017,"[""Fresno St.""]",OAK,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,206,3496,22,13,87,50.4,86.4,62.7,66,32,2.9,4.4,0,0,0,0,,0.0,23,66,0,8,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2018,"[""Fresno St.""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,216,4049,19,10,66,46.5,93.9,68.9,47,15,2.0,2.9,1,1,-9,0,-9,-0.6,25,38,1,12,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2019,"[""Fresno St.""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,244,4054,21,8,75,64.1,100.8,70.4,82,15,3.0,5.1,2,0,0,0,,0.0,27,82,2,7,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2020,"[""Fresno St.""]",LVR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,272,4103,27,9,85,64.3,101.4,67.3,140,18,3.6,8.8,3,0,0,0,,0.0,39,140,3,11,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2021,"[""Fresno St.""]",LVR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,257,4804,23,14,61,58.4,94.0,68.4,108,22,2.7,6.4,0,0,0,0,,0.0,40,108,0,13,20,0,20,0,0,,20,1,1,310,1,69.2,26,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2022,"[""Fresno St.""]",LVR,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,219,3522,24,14,60,57.6,86.3,60.8,102,20,4.3,6.8,0,0,0,0,,0.0,24,102,0,4,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2023,"[""Fresno St.""]",NOR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,241,3878,25,8,58,57.3,97.7,68.4,40,10,1.3,2.4,0,0,0,0,,0.0,32,40,0,7,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
Derek,Carr,Derek Carr,03/28/1991,CarrDe02,https://www.pro-football-reference.com/req/20230307/images/headshots/CarrDe02_2024.jpg,2024,"[""Fresno St.""]",NOR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,151,2145,15,5,71,60.2,101.0,67.7,71,13,4.2,7.1,1,0,0,0,,0.0,17,71,1,3,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,956,1,-9,7,0,41245,257
