first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""LSU""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,,,,,,,,41,37,20.5,2.6,0,5,68,0,32,4.3,7,109,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""LSU""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,23,,,,,,,,-1,-1,-1.0,-0.2,0,7,179,1,53,35.8,8,178,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""LSU""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,60,,,,,,,,0,,,0.0,0,27,494,2,51,54.9,27,494,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""LSU""]",KAN,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,183,48,1,0,48,,158.3,100.0,20,18,10.0,1.3,0,80,1351,7,50,84.4,82,1371,7,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""LSU""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,131,,,,,,,,-8,-8,-8.0,-0.5,0,57,1078,4,57,67.4,58,1070,4,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""LSU""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,111,,,,,,,,25,13,8.3,1.7,0,47,843,4,37,56.2,50,868,4,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""LSU""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73,,,,,,,,0,,,0.0,0,21,497,4,70,49.7,21,497,4,1,0,0,,43,0,27,43,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""LSU""]",KAN,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,145,,,,,,,,-7,-7,-7.0,-0.6,0,55,1044,7,81,87.0,56,1037,7,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""LSU""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,89,,,,,,,,1,1,1.0,0.1,0,46,711,3,80,50.8,47,712,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""LSU""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,-9,-9,-9.0,-0.7,0,8,107,1,28,8.2,9,98,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
Carlos,Carson,Carlos Carson,12/28/1958,CarsCa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""LSU""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,7,95,1,28,13.6,7,95,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,62,353,6372,0,33,48,1
