first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,,,,,,,,0,,,0.0,0,3,37,0,23,4.1,3,37,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,,,,,,,,0,,,0.0,0,15,85,0,11,5.3,15,85,0,0,0,0,,18,0,10,18,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,12,96,1,24,6.0,12,96,1,0,0,0,,30,0,26,30,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,4,51,0,15,3.2,4,51,0,0,0,0,,7,0,7,7,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,,,,,,,,0,,,0.0,0,24,201,2,20,12.6,24,201,2,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,68,,,,,,,,0,,,0.0,0,49,495,3,43,30.9,49,495,3,0,0,0,,8,0,6,8,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Liberty""]",DEN,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,56,,,,,,,,0,,,0.0,0,34,299,4,25,18.7,34,299,4,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,0,,,0.0,0,21,189,1,19,11.8,21,189,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
Dwayne,Carswell,Dwayne Carswell,01/18/1972,CarsDw00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Liberty""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,,0.0,0,6,53,1,19,3.3,6,53,1,0,0,0,,12,0,7,12,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0,192,1707,0,15,0,0
