first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1987,"[""Ohio St.""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,0,0,0,,,39.6,0.0,0,,,0.0,0,5,84,2,25,9.3,5,84,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1988,"[""Ohio St.""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,118,,,,,,,,1,1,1.0,0.1,0,39,761,6,80,47.6,40,762,6,0,0,0,,17,0,17,17,0,0,0,0,39.6,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1989,"[""Ohio St.""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,127,,,,,,,,16,11,8.0,1.0,0,45,605,11,42,37.8,47,621,11,1,0,0,,16,0,11,16,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1990,"[""Ohio St.""]",MIN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,60,,,,,,,,6,8,3.0,0.4,0,27,413,3,78,25.8,29,419,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1991,"[""Ohio St.""]",MIN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,125,,,,,,,,0,,,0.0,0,72,962,5,50,60.1,72,962,5,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1992,"[""Ohio St.""]",MIN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,,,,,,,,15,6,3.0,1.3,0,53,681,6,44,56.8,58,696,6,1,0,0,,77,0,42,77,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1993,"[""Ohio St.""]",MIN,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,161,,,,,,,,0,,,0.0,0,86,1071,9,58,66.9,86,1071,9,0,0,0,,83,1,40,83,1,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1994,"[""Ohio St.""]",MIN,PB AP-1 AP OPoY-4,WR,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,172,,,,,,,,0,,,0.0,0,122,1256,7,65,78.5,122,1256,7,4,0,0,,61,1,19,61,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1995,"[""Ohio St.""]",MIN,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,239,,,,,,,,0,,0.0,0.0,0,122,1371,17,60,85.7,123,1371,17,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1996,"[""Ohio St.""]",MIN,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,174,,,,,,,,0,,,0.0,0,96,1163,10,43,72.7,96,1163,10,1,0,0,,36,1,30,36,1,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1997,"[""Ohio St.""]",MIN,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,189,,,,,,,,0,,,0.0,0,89,1069,13,43,66.8,89,1069,13,3,0,0,,176,2,66,176,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
Cris,Carter,Cris Carter,11/25/1965,CartCr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CartCr00_USAT_1997.jpg,1998,"[""Ohio St.""]",MIN,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,173,,,,,,,,-1,-1,-1.0,-0.1,0,78,1011,12,54,63.2,79,1010,12,0,0,0,,149,0,45,149,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,41,1101,13899,0,130,0,0
