first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Kansas St.""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,,,,,,,,22,20,7.3,1.4,0,11,121,1,22,7.6,14,143,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Kansas St.""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,,,,,,,,411,22,3.8,27.4,4,18,176,0,40,11.7,125,587,4,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Kansas St.""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,0.0,0.0,0,0,0,0,,0.0,2,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Kansas St.""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,,,,,,,,199,52,7.4,12.4,2,2,23,0,17,1.4,29,222,2,1,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Kansas St.""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,,,,,,,,15,9,3.0,0.9,0,0,0,0,,0.0,5,15,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Kansas St.""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,0.0,0.0,0,0,0,0,,0.0,2,0,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Kansas St.""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,14,7,2.8,0.9,0,1,-7,0,-7,-0.4,6,7,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Kansas St.""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,,,,,,,,228,34,3.6,14.3,0,27,242,1,51,15.1,91,470,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2010,"[""Kansas St.""]",OAK,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,22,10,2.4,1.4,0,1,10,0,10,0.6,10,32,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
Rock,Cartwright,Rock Cartwright,12/03/1979,CartRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2011,"[""Kansas St.""]",OAK,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,45,35,11.3,3.0,0,4,24,0,9,1.6,8,69,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,956,64,589,6,2,0,0
