first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Illinois St.""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,,,,,,,,31,19,2.8,5.2,0,4,32,0,9,5.3,15,63,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Illinois St.""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,,,,,,,,31,19,2.8,6.2,0,4,32,0,9,6.4,15,63,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Illinois St.""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Illinois St.""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,52,,,,,,,,107,40,4.1,10.7,0,19,288,2,37,28.8,45,395,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Illinois St.""]",DAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,48,37,0,0,37,,118.7,100.0,220,63,5.5,22.0,2,17,142,0,28,14.2,57,362,2,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Illinois St.""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Illinois St.""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14,,,,,,,,65,14,6.5,32.5,1,1,11,0,11,5.5,11,76,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Illinois St.""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12,,,,,,,,94,16,3.9,15.7,0,5,26,0,14,4.3,29,120,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Illinois St.""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15,,,,,,,,38,12,3.5,3.2,0,14,129,0,20,10.8,25,167,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
Aveion,Cason,Aveion Cason,07/12/1979,CasoAv00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Illinois St.""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,7,4,1.8,1.0,0,4,27,0,15,3.9,8,34,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,562,64,655,3,2,37,0
