first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1970,"[""Jackson St.""]",NYJ,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,57,,,,,,,,0,,,0.0,0,19,393,3,72,28.1,19,393,3,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1971,"[""Jackson St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,,,,,,,,10,17,5.0,0.7,0,26,454,6,57,32.4,28,464,6,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1972,"[""Jackson St.""]",NYJ,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,144,,,,,,,,6,6,3.0,0.4,0,39,833,10,80,59.5,41,839,10,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1973,"[""Jackson St.""]",NYJ,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,81,,,,,,,,-9,-9,-9.0,-0.6,0,35,593,4,49,42.4,36,584,4,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1974,"[""Jackson St.""]",NYJ,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,115,,,,,,,,0,,,0.0,0,38,745,7,89,57.3,38,745,7,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1975,"[""Jackson St.""]",NYJ,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,106,,,,,,,,0,,,0.0,0,47,820,4,91,58.6,47,820,4,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1976,"[""Jackson St.""]",NYJ,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,,,,,,,,73,60,12.2,5.2,0,31,391,1,41,27.9,37,464,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1977,"[""Jackson St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,24,,,,,,,,-15,-6,-7.5,-1.5,0,10,205,1,58,20.5,12,190,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""Jackson St.""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,32,11,6.4,2.3,0,20,316,5,47,22.6,25,348,5,1,0,0,,67,0,21,67,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
Rich,Caster,Rich Caster,10/16/1948,CastRi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Jackson St.""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,31,,,,,,,,25,10,6.3,1.6,0,18,239,1,36,14.9,22,264,1,1,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,119,322,5515,0,45,0,0
