first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2007,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,24,,,,,,,,0,,,0.0,0,16,178,1,29,11.1,16,178,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2008,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,38,,,,,,,,0,,,0.0,0,27,318,1,44,19.9,27,318,1,0,0,0,,151,3,31,151,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2009,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,145,,,,,,,,0,,,0.0,0,76,971,8,47,60.7,76,971,8,0,0,0,,59,0,26,59,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2010,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,,,,,,,,0,,,0.0,0,42,511,4,65,31.9,42,511,4,0,0,0,,25,0,16,25,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2011,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,111,,,,,,,,0,,,0.0,0,62,811,5,73,50.7,62,811,5,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2012,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,,,,,,,,0,,,0.0,0,57,684,1,34,45.6,57,684,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2013,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,84,,,,,,,,0,,,0.0,0,32,502,6,42,31.4,32,502,6,1,0,0,,16,0,24,16,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2014,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,38,,,,,,,,0,,,0.0,0,32,340,1,37,21.3,32,340,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2015,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,58,,,,,,,,0,,,0.0,0,27,398,3,60,24.9,27,398,3,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2016,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,14,155,0,24,9.7,14,155,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
Brent,Celek,Brent Celek,01/25/1985,CeleBr00,https://www.pro-football-reference.com/req/20230307/images/headshots/CeleBr00_2017.jpg,2017,"[""Cincinnati""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,19,,,,,,,,0,,,0.0,0,13,130,1,28,8.1,13,130,1,0,0,0,,6,0,6,6,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,398,4998,0,31,0,0
