first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""Florida""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,59,,,,,,,,10,10,5.0,0.6,0,35,472,2,58,29.5,37,482,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Florida""]",NOR,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,143,,,,,,,,0,,,0.0,0,65,1069,6,85,66.8,65,1069,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Florida""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,134,43,0,0,43,,118.7,100.0,9,9,9.0,0.6,0,65,975,6,50,60.9,66,984,6,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Florida""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,149,0,0,0,,,39.6,0.0,-1,9,-0.2,-0.1,0,69,1142,6,51,71.4,74,1141,6,1,0,0,,185,0,47,185,0,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Florida""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,149,,,,,,,,0,,,0.0,0,17,285,1,39,71.3,17,285,1,0,0,0,,185,0,47,185,0,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Florida""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,149,0,0,0,,,39.6,0.0,-1,9,-0.2,-0.1,0,52,857,5,51,71.4,57,856,5,1,0,0,,185,0,47,185,0,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Florida""]",SDG,PB AP-1 AP OPoY-4,WR,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,160,,,,,,,,32,21,6.4,4.0,0,49,1032,9,66,129.0,54,1064,9,0,0,0,,162,0,33,162,0,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Florida""]",SDG,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,114,0,0,0,,,,,25,23,12.5,1.6,0,58,845,5,44,52.8,60,870,5,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Florida""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,107,,,,,,,,0,,,0.0,0,52,708,6,63,47.2,52,708,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
Wes,Chandler,Wes Chandler,08/22/1956,ChanWe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Florida""]",SDG,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,180,,,,,,,,9,9,9.0,0.6,0,67,1199,10,75,79.9,68,1208,10,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,84,559,8966,0,56,43,0
