first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2008,"[""Texas""]",KAN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,65,,,,,,,,357,30,5.3,22.3,0,27,272,1,75,17.0,94,629,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2009,"[""Texas""]",KAN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,192,,,,,,,,1120,76,5.9,74.7,7,40,297,1,49,19.8,230,1417,8,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2010,"[""Texas""]",KAN,PB AP-1,RB,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,238,,,,,,,,1467,80,6.4,91.7,5,45,468,3,31,29.3,275,1935,8,3,82,1,41,15,0,15,97,1,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2011,"[""Texas""]",KAN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,13,,,,,,,,83,24,6.9,41.5,0,5,9,1,9,4.5,17,92,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2012,"[""Texas""]",KAN,PB AP-2 AP CPoY-3,RB,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,205,,,,,,,,1509,91,5.3,94.3,5,35,236,1,22,14.8,320,1745,6,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2013,"[""Texas""]",KAN,PB AP-1 AP OPoY-3,RB,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,308,,,,,,,,1287,46,5.0,85.8,12,70,693,7,71,46.2,329,1980,19,4,18,0,7,0,0,,18,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2014,"[""Texas""]",KAN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,210,,,,,,,,1033,63,5.0,68.9,9,40,291,5,30,19.4,246,1324,14,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2015,"[""Texas""]",KAN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,80,,,,,,,,364,34,5.1,72.8,4,21,177,1,26,35.4,92,541,5,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2016,"[""Texas""]",KAN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,40,17,3.3,13.3,1,2,14,0,16,4.7,14,54,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2017,"[""Texas""]",DEN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,45,,,,,,,,296,19,4.3,21.1,1,23,129,0,20,9.2,92,425,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
Jamaal,Charles,Jamaal Charles,12/27/1986,CharJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CharJa00_2016.jpg,2018,"[""Texas""]",JAX,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,7,5,1.2,3.5,0,2,7,0,5,3.5,8,14,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,7563,310,2593,44,20,0,0
