first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Arkansas"", ""Louisiana Tech""]",GNB,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,65,,,,,,,,328,42,4.6,20.5,0,18,279,1,75,17.4,89,607,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Arkansas"", ""Louisiana Tech""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,95,,,,,,,,375,43,4.3,34.1,4,29,234,2,20,21.3,116,609,6,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Arkansas"", ""Louisiana Tech""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,127,,,,,,,,633,80,4.3,39.6,5,24,252,2,55,15.8,171,885,7,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Arkansas"", ""Louisiana Tech""]",GNB,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,41,9,2.3,8.2,0,6,41,0,12,8.2,24,82,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Arkansas"", ""Louisiana Tech""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,39,,,,,,,,211,57,3.8,17.6,0,22,119,1,19,9.9,78,330,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Arkansas"", ""Louisiana Tech""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Arkansas"", ""Louisiana Tech""]",DET,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Arkansas"", ""Louisiana Tech""]",PHO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Arkansas"", ""Louisiana Tech""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,,,,,,,,99,14,5.0,7.1,0,2,14,0,12,1.0,22,113,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
Jessie,Clark,Jessie Clark,01/03/1960,ClarJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Arkansas"", ""Louisiana Tech""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,,,,,,,,57,14,5.7,19.0,0,2,14,0,12,4.7,12,71,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1736,102,943,9,6,0,0
