first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Louisville""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,27,48,1,0,48,,158.3,100.0,9,9,4.5,0.6,0,6,114,1,39,8.1,8,123,1,3,0,0,,0,0,,0,0,0,0,0,39.6,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Louisville""]",MIA,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,246,0,0,1,,,0.0,0.0,35,30,11.7,2.3,0,73,1389,18,65,92.6,76,1424,18,2,0,0,,262,2,40,262,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Louisville""]",MIA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,123,0,0,0,,,,,10,10,10.0,0.6,0,70,996,4,45,62.3,71,1006,4,2,0,0,,56,0,16,56,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Louisville""]",MIA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,177,,,,,,,,33,22,16.5,2.2,0,60,1150,10,68,76.7,62,1183,10,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Louisville""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,120,,,,,,,,8,4,4.0,0.7,0,46,776,7,43,64.7,48,784,7,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Louisville""]",MIA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,197,,,,,,,,4,4,4.0,0.3,0,86,1129,14,45,70.6,87,1133,14,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Louisville""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,,,,,,,,9,11,3.0,0.6,0,64,1011,9,78,67.4,67,1020,9,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Louisville""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,58,,,,,,,,0,,,0.0,0,32,406,3,43,40.6,32,406,3,1,0,0,,148,1,29,148,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Louisville""]",MIA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,177,,,,,,,,0,,,0.0,0,70,1053,12,43,65.8,70,1053,12,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Louisville""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,,,,,,,,0,,,0.0,0,43,619,3,44,47.6,43,619,3,1,0,0,,32,0,16,32,1,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
Mark,Clayton,Mark Clayton,04/08/1961,ClayMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Louisville""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,,,,,,,,0,,,0.0,0,32,331,3,32,20.7,32,331,3,0,0,0,,9,0,9,9,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,108,582,8974,0,84,48,1
