first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Florida St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,,,,,,,,15,8,7.5,1.2,0,22,370,1,63,28.5,24,385,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Florida St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,140,,,,,,,,108,20,10.8,6.8,0,59,868,7,40,54.3,69,976,7,1,7,0,7,123,0,29,130,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Florida St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,162,,,,,,,,39,21,6.5,2.4,0,89,1264,5,43,79.0,95,1303,5,1,-1,0,-1,66,0,14,65,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Florida St.""]",WAS,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,160,,,,,,,,39,23,3.9,2.4,0,82,1204,6,64,75.3,92,1243,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Florida St.""]",WAS,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,99,,,,,,,,-3,7,-1.0,-0.2,0,90,950,1,45,59.4,93,947,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Florida St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,115,,,,,,,,0,,,0.0,0,73,845,5,43,52.8,73,845,5,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Florida St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,147,,,,,,,,14,15,7.0,0.9,0,91,1098,6,58,68.6,93,1112,6,1,0,0,,45,0,14,45,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Florida St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,101,,,,,,,,0,,,0.0,0,55,646,6,57,53.8,55,646,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Florida St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,128,,,,,,,,9,6,4.5,0.6,0,70,850,7,54,53.1,72,859,7,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
Laveranues,Coles,Laveranues Coles,12/29/1977,ColeLa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Florida St.""]",CIN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,,,,,,,,10,8,5.0,0.6,0,43,514,5,40,32.1,45,524,5,0,0,0,,48,1,13,48,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,231,674,8609,0,49,0,0
