first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,1995,"[""Penn St.""]",CAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,142,2717,14,19,89,,61.9,49.4,74,10,1.8,4.9,3,0,0,0,,0.0,42,74,3,13,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,1996,"[""Penn St.""]",CAR,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,134,2454,14,9,55,,79.4,56.0,38,14,1.2,2.9,0,0,0,0,,0.0,32,38,0,6,4,0,8,0,0,,4,0,3,315,3,63.9,27,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,1997,"[""Penn St.""]",CAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,2124,11,21,59,,55.7,52.5,65,21,2.5,5.0,1,0,0,0,,0.0,26,65,1,8,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,1998,"[""Penn St.""]",2TM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,117,2213,12,15,89,,62.0,48.2,153,20,5.1,13.9,1,1,-11,0,-11,-1.0,31,142,1,13,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,1998,"[""Penn St.""]",CAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,117,1011,8,5,72,,70.8,46.9,40,16,5.7,10.0,0,1,-11,0,-11,-2.8,8,29,0,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,1998,"[""Penn St.""]",NOR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,117,1202,4,10,89,,54.5,49.2,113,20,4.9,16.1,1,0,0,0,,0.0,23,113,1,8,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,1999,"[""Penn St.""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,108,2318,8,11,80,,73.3,57.4,36,11,1.9,3.6,2,0,0,0,,0.0,19,36,2,11,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,2000,"[""Penn St.""]",NYG,AP CPoY-2,QB,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,215,3610,22,13,59,,83.1,58.8,65,15,1.6,4.1,1,0,0,0,,0.0,41,65,1,7,29,0,9,0,0,,29,1,6,618,5,67.3,46,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,2001,"[""Penn St.""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,190,3764,19,16,76,,77.1,57.6,73,11,1.9,4.6,0,1,-2,0,-2,-0.1,40,71,0,23,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,2002,"[""Penn St.""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,211,4073,19,14,82,,85.4,61.5,-3,8,-0.1,-0.2,0,0,0,0,,0.0,44,-3,0,8,,,,,,,,,1,342,4,112.7,46,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,2003,"[""Penn St.""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,141,3110,13,16,77,,70.7,56.8,49,22,2.9,3.8,0,0,0,0,,0.0,17,49,0,12,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,2004,"[""Penn St.""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,181,3495,21,20,63,,74.8,56.3,36,8,2.3,2.6,0,0,0,0,,0.0,16,36,0,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
Kerry,Collins,Kerry Collins,12/30/1972,CollKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CollKe00_USAT_1997.jpg,2005,"[""Penn St.""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,208,3759,20,12,79,,77.3,53.5,39,18,2.3,2.6,1,0,0,0,,0.0,17,39,1,13,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,686,2,-13,10,0,40922,208
