first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2006,"[""Hofstra""]",NOR,AP ORoY-2,WR,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,152,,,,,,,,0,,,0.0,0,70,1038,8,86,74.1,70,1038,8,0,0,0,,118,1,29,118,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2007,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,184,,,,,,,,0,,,0.0,0,98,1202,11,45,75.1,98,1202,11,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2008,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,106,,,,,,,,0,,,0.0,0,47,760,5,70,69.1,47,760,5,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2009,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,160,,,,,,,,6,6,6.0,0.4,0,70,1074,9,68,67.1,71,1080,9,2,0,0,,188,1,27,188,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2010,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,144,,,,,,,,1,1,1.0,0.1,0,84,1023,7,43,68.2,85,1024,7,0,0,0,,66,0,30,66,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2011,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,160,,,,,,,,0,,,0.0,0,80,1143,8,50,81.6,80,1143,8,1,0,0,,256,1,40,256,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2012,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,171,,,,,,,,0,,,0.0,0,83,1154,10,60,72.1,83,1154,10,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2013,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,124,,,,,,,,0,,,0.0,0,75,943,5,35,62.9,75,943,5,0,0,0,,160,1,25,160,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2014,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,118,,,,,,,,0,,,0.0,0,59,902,5,57,56.4,59,902,5,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
Marques,Colston,Marques Colston,06/05/1983,ColsMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/ColsMa00_2019.jpg,2015,"[""Hofstra""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,76,,,,,,,,0,,,0.0,0,45,520,4,53,40.0,45,520,4,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,711,9759,0,72,0,0
