first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""USC""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,39,,,,,,,,44,18,8.8,2.8,0,19,231,2,38,14.4,24,275,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""USC""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73,23,1,0,23,,158.3,100.0,31,12,5.2,2.4,0,39,546,2,85,42.0,45,577,2,2,0,0,,81,0,23,81,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""USC""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,183,0,0,0,,,39.6,0.0,77,20,15.4,4.8,0,62,1037,12,76,64.8,67,1114,12,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""USC""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,157,33,1,0,33,,158.3,100.0,50,19,6.3,3.1,0,81,1049,7,58,65.6,89,1099,7,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""USC""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,55,0,0,0,,,39.6,0.0,17,10,5.7,2.4,0,30,476,1,55,68.0,33,493,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""USC""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,92,0,0,0,,,39.6,0.0,48,29,9.6,3.2,0,54,733,3,47,48.9,59,781,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""USC""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,-2,-2,-2.0,-0.2,0,44,426,4,30,47.3,45,424,4,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""USC""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,104,,,,,,,,31,13,10.3,2.2,0,53,712,5,68,50.9,56,743,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""USC""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,164,,,,,,,,116,67,16.6,7.3,1,71,1125,6,72,70.3,78,1241,7,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""USC""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,129,,,,,,,,53,22,7.6,4.1,2,57,852,5,52,65.5,64,905,7,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""USC""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,76,,,,,,,,0,,,0.0,0,46,640,2,45,40.0,46,640,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
Curtis,Conway,Curtis Conway,01/13/1971,ConwCu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""USC""]",SFO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,60,,,,,,,,0,,,0.0,0,38,403,3,37,25.2,38,403,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,465,594,8230,3,52,56,2
