first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Washington""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,15,164,0,26,16.4,15,164,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Washington""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,0,,,0.0,0,38,404,4,46,25.3,38,404,4,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Washington""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,,0.0,0,15,105,0,13,15.0,15,105,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Washington""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,,0.0,0,1,11,0,11,3.7,1,11,0,0,0,0,,22,0,16,22,0,,,,,,true,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Washington""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,,,,,,,,23,17,11.5,1.4,0,5,40,0,17,2.5,7,63,0,0,0,0,,0,0,,0,0,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Washington""]",STL,AP-2,TE,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,72,,,,,,,,28,13,4.0,1.8,1,38,431,4,47,26.9,45,459,5,2,0,0,,41,0,19,41,0,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Washington""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,63,,,,,,,,30,15,5.0,1.9,1,34,419,2,52,26.2,40,449,3,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Washington""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,,,,,,,,0,,,0.0,0,26,290,2,32,29.0,26,290,2,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Washington""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,10,102,1,28,6.4,10,102,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
Ernie,Conwell,Ernie Conwell,08/17/1972,ConwEr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Washington""]",NOR,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,21,,,,,,,,0,,,0.0,0,13,165,1,31,20.6,13,165,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,81,203,2188,2,15,0,0
