first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2017,"[""Florida St.""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,54,,,,,,,,354,33,4.8,88.5,2,11,90,0,36,22.5,85,444,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2018,"[""Florida St.""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,112,,,,,,,,615,70,4.6,55.9,2,40,305,2,27,27.7,173,920,4,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2019,"[""Florida St.""]",MIN,PB AP CPoY-5,RB,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,239,,,,,,,,1135,75,4.5,81.1,13,53,519,0,31,37.1,303,1654,13,4,112,2,22,44,0,19,156,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2020,"[""Florida St.""]",MIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,294,,,,,,,,1557,70,5.0,111.2,16,44,361,1,50,25.8,356,1918,17,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2021,"[""Florida St.""]",MIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,172,,,,,,,,1159,66,4.7,89.2,6,34,224,0,24,17.2,283,1383,6,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2022,"[""Florida St.""]",MIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,199,0,0,0,,0.0,,,1173,81,4.4,69.0,8,39,295,2,64,17.4,303,1468,10,4,60,0,11,10,0,6,70,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2023,"[""Florida St.""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,214,14,3.2,14.3,0,15,78,0,15,5.2,82,292,0,2,23,0,19,0,0,,23,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2023,"[""Florida St.""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,0,,,,0,0,0,0,,,0,0,0,0,23,0,19,0,0,,23,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2023,"[""Florida St.""]",NYJ,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,214,14,3.2,14.3,0,15,78,0,15,5.2,82,292,0,2,23,0,19,0,0,,23,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
Dalvin,Cook,Dalvin Cook,08/10/1995,CookDa01,https://www.pro-football-reference.com/req/20230307/images/headshots/CookDa01_2022.jpg,2024,"[""Florida St.""]",DAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,20,4,2.5,10.0,0,1,10,0,10,5.0,9,30,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,6227,237,1882,47,5,0,0
