first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2009,"[""South Carolina""]",TEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,0,,,0.0,0,9,74,0,17,5.3,9,74,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2010,"[""South Carolina""]",TEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,0,,,0.0,0,29,361,1,36,22.6,29,361,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2011,"[""South Carolina""]",TEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,90,,,,,,,,0,,,0.0,0,49,759,3,80,47.4,49,759,3,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2012,"[""South Carolina""]",TEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,74,,,,,,,,0,,,0.0,0,44,523,4,61,40.2,44,523,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2013,"[""South Carolina""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,95,,,,,,,,0,,,0.0,0,51,671,5,47,41.9,51,671,5,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2014,"[""South Carolina""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,81,,,,,,,,0,,0.0,0.0,0,52,634,3,59,39.6,53,634,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2015,"[""South Carolina""]",STL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,48,,,,,,,,0,,,0.0,0,39,481,0,49,30.1,39,481,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2016,"[""South Carolina""]",GNB,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,0,,,0.0,0,30,377,1,47,37.7,30,377,1,1,0,0,,229,2,35,229,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2017,"[""South Carolina""]",OAK,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,,,,,,,,0,,,0.0,0,54,688,2,35,43.0,54,688,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
Jared,Cook,Jared Cook,04/07/1987,CookJa02,https://www.pro-football-reference.com/req/20230307/images/headshots/CookJa02_2021.jpg,2018,"[""South Carolina""]",OAK,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,126,,,,,,,,0,,,0.0,0,68,896,6,45,56.0,68,896,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0,553,7237,0,45,0,0
