first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2015,"[""Alabama""]",OAK,PB AP ORoY-3,WR,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,141,,,,,,,,-3,2,-1.0,-0.2,0,72,1070,6,68,66.9,75,1067,6,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2016,"[""Alabama""]",OAK,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,149,,,,,,,,0,,0.0,0.0,0,83,1153,5,64,72.1,84,1153,5,2,0,0,,10,0,9,10,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2017,"[""Alabama""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,110,,,,,,,,4,4,4.0,0.3,0,48,680,7,87,48.6,49,684,7,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2018,"[""Alabama""]",2TM,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,141,,,,,,,,20,11,10.0,1.3,0,75,1005,7,90,67.0,77,1025,7,2,0,0,,171,1,34,171,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2018,"[""Alabama""]",DAL,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,141,,,,,,,,11,11,11.0,1.2,0,53,725,6,90,80.6,54,736,6,2,0,0,,171,1,34,171,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2018,"[""Alabama""]",OAK,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,141,,,,,,,,9,9,9.0,1.5,0,22,280,1,36,46.7,23,289,1,0,0,0,,171,1,34,171,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2019,"[""Alabama""]",DAL,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,168,,,,,,,,6,6,6.0,0.4,0,79,1189,8,53,74.3,80,1195,8,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2020,"[""Alabama""]",DAL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,145,,,,,,,,14,10,2.3,0.9,0,92,1114,5,69,69.6,98,1128,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2021,"[""Alabama""]",DAL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,135,,,,,,,,0,,,0.0,0,68,865,8,41,57.7,68,865,8,1,0,0,,64,1,20,64,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
Amari,Cooper,Amari Cooper,06/17/1994,CoopAm00,https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2022.jpg,2022,"[""Alabama""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,168,0,0,1,,0.0,0.0,0.0,0,,,0.0,0,78,1160,9,55,68.2,78,1160,9,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,41,711,10033,0,64,0,0
