first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""East Carolina""]",DAL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14,,,,,,,,-1,-1,-1.0,-0.1,0,7,84,1,22,8.4,8,83,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""East Carolina""]",DAL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,,0.0,0,1,5,0,5,0.3,1,5,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""East Carolina""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,,,,,,,,8,8,8.0,0.5,0,23,385,3,48,25.7,24,393,3,2,0,0,,32,0,14,32,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""East Carolina""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,0,,,0.0,0,15,126,2,21,8.4,15,126,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""East Carolina""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""East Carolina""]",BAL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""East Carolina""]",NOR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""East Carolina""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,0,,,0.0,0,4,68,0,50,4.5,4,68,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2010,"[""East Carolina""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,18,157,0,20,9.8,18,157,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
Terrance,Copper,Terrance Copper,03/12/1982,CoppTe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2011,"[""East Carolina""]",KAN,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,,0.0,0,8,114,0,43,7.1,8,114,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,84,1018,0,6,0,0
