first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Holy Cross"", ""Santa Clara""]",DAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,,,,,,,,0,,,0.0,0,5,36,0,12,2.3,5,36,0,1,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Holy Cross"", ""Santa Clara""]",DAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,,,,,,,,0,,,0.0,0,2,11,1,6,0.7,2,11,1,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Holy Cross"", ""Santa Clara""]",DAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,55,,,,,,,,33,15,8.3,2.1,0,17,225,5,28,14.1,21,258,5,1,0,0,,26,1,21,26,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Holy Cross"", ""Santa Clara""]",DAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,68,,,,,,,,-2,-2,-2.0,-0.2,0,30,441,4,45,49.0,31,439,4,0,0,0,,94,1,19,94,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Holy Cross"", ""Santa Clara""]",DAL,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,95,,,,,,,,0,,,0.0,0,46,588,6,61,36.8,46,588,6,0,0,0,,62,1,22,62,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Holy Cross"", ""Santa Clara""]",DAL,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,102,,,,,,,,0,,,0.0,0,60,789,4,36,49.3,60,789,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Holy Cross"", ""Santa Clara""]",DAL,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,113,,,,,,,,0,,,0.0,0,64,793,6,42,49.6,64,793,6,2,0,0,,61,0,21,61,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Holy Cross"", ""Santa Clara""]",DAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,38,,,,,,,,9,9,9.0,0.6,0,28,312,1,22,19.5,29,321,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Holy Cross"", ""Santa Clara""]",DAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,60,,,,,,,,-5,-5,-5.0,-0.4,0,36,421,3,30,35.1,37,416,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
Doug,Cosbie,Doug Cosbie,03/27/1956,CosbDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Holy Cross"", ""Santa Clara""]",DAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,,0.0,0,12,112,0,21,10.2,12,112,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,35,300,3728,0,30,0,0
