first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2004,"[""North Carolina St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12,,,,,,,,0,,,0.0,0,6,60,0,18,5.0,6,60,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2005,"[""North Carolina St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,26,,,,,,,,4,4,4.0,0.3,0,19,251,0,45,15.7,20,255,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2006,"[""North Carolina St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,135,,,,,,,,25,10,5.0,1.6,0,82,961,6,71,60.1,87,986,6,0,19,0,14,100,1,77,119,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2007,"[""North Carolina St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,127,,,,,,,,38,16,7.6,2.5,0,82,1130,2,50,75.3,87,1168,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2008,"[""North Carolina St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,117,,,,,,,,8,8,4.0,0.5,0,71,858,5,56,53.6,73,866,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2009,"[""North Carolina St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,107,,,,,,,,7,6,3.5,0.5,1,57,821,3,53,58.6,59,828,4,1,1,0,1,194,0,46,195,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2010,"[""North Carolina St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,55,,,,,,,,-3,4,-0.8,-0.2,0,41,433,2,49,30.9,45,430,2,0,-4,0,-4,146,1,58,142,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2011,"[""North Carolina St.""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,36,,,,,,,,3,3,3.0,0.2,0,16,237,2,36,18.2,17,240,2,0,0,0,,31,1,31,31,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2012,"[""North Carolina St.""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,21,,,,,,,,0,,,0.0,0,17,205,0,24,14.6,17,205,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2013,"[""North Carolina St.""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,120,,,,,,,,-5,-5,-5.0,-0.3,0,46,602,10,36,37.6,47,597,10,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2014,"[""North Carolina St.""]",CAR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,66,,,,,,,,0,,,0.0,0,48,580,1,47,38.7,48,580,1,0,5,0,5,39,0,13,44,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
Jerricho,Cotchery,Jerricho Cotchery,06/16/1982,CotcJe00,https://www.pro-football-reference.com/req/20230307/images/headshots/CotcJe00_2019.jpg,2015,"[""North Carolina St.""]",CAR,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,68,,,,,,,,16,16,16.0,1.1,0,39,485,3,59,34.6,40,501,3,0,0,0,,56,0,12,56,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,524,6623,1,34,0,0
