first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2012,"[""Michigan St.""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,466,4,3,77,77.7,101.6,68.8,22,17,7.3,7.3,0,0,0,0,,0.0,3,22,0,1,0,0,,0,0,,0,1,0,31,0,40.0,15,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2013,"[""Michigan St.""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,34,854,4,7,62,36.5,58.4,52.3,14,6,3.5,2.8,0,0,0,0,,0.0,4,14,0,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2014,"[""Michigan St.""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,88,1710,10,9,81,52.3,86.4,61.8,20,12,2.9,3.3,0,0,0,0,,0.0,7,20,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2015,"[""Michigan St.""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,293,4166,29,11,78,67.8,101.6,69.8,48,13,1.8,3.0,5,0,0,0,,0.0,26,48,5,9,2,1,3,0,0,,2,3,0,329,1,91.7,38,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2016,"[""Michigan St.""]",WAS,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,300,4917,25,12,80,66.5,97.2,67.0,96,19,2.8,6.0,4,0,0,0,,0.0,34,96,4,9,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2017,"[""Michigan St.""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,278,4093,27,13,74,56.2,93.9,64.3,179,18,3.7,11.2,4,0,0,0,,0.0,49,179,4,13,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2018,"[""Michigan St.""]",MIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,282,4298,30,10,75,59.5,99.7,70.1,123,19,2.8,7.7,1,1,-1,0,-1,-0.1,45,122,1,9,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2019,"[""Michigan St.""]",MIN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,244,3603,26,6,66,60.4,107.4,69.1,63,14,2.0,4.2,1,0,0,0,,0.0,31,63,1,10,-1,0,,0,0,,-1,1,1,414,2,90.6,43,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2020,"[""Michigan St.""]",MIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,306,4265,35,13,71,55.8,105.0,67.6,156,16,4.9,9.8,1,0,0,0,,0.0,32,156,1,9,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
Kirk,Cousins,Kirk Cousins,08/19/1988,CousKi00,https://www.pro-football-reference.com/req/20230307/images/headshots/CousKi00_2024.jpg,2021,"[""Michigan St.""]",MIN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,300,4221,33,7,64,58.3,103.1,66.3,115,29,4.0,7.2,1,0,0,0,,0.0,29,115,1,12,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,965,1,-1,20,0,44700,298
