first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Texas Southern""]",ATL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,13,,,,,,,,0,,,0.0,0,9,83,1,19,5.2,9,83,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Texas Southern""]",ATL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,50,,,,,,,,0,,,0.0,0,34,329,3,23,20.6,34,329,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Texas Southern""]",ATL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,57,,,,,,,,0,,,0.0,0,33,454,2,62,28.4,33,454,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Texas Southern""]",ATL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,,,,,,,,0,,,0.0,0,24,301,1,49,18.8,24,301,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Texas Southern""]",ATL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,,,,,,,,0,,,0.0,0,11,101,0,19,8.4,11,101,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Texas Southern""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14,,,,,,,,0,,,0.0,0,18,144,0,20,9.0,18,144,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Texas Southern""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,,,,,,,,0,,,0.0,0,22,200,2,24,12.5,22,200,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Texas Southern""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,13,,,,,,,,0,,,0.0,0,14,93,1,12,5.8,14,93,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Texas Southern""]",3TM,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,5,53,0,19,4.1,5,53,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Texas Southern""]",CLE,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Texas Southern""]",MIA,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
Arthur,Cox,Arthur Cox,02/05/1961,CoxxAr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Texas Southern""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,5,53,0,19,6.6,5,53,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,170,1758,0,10,0,0
