first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Nebraska""]",SFO,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,181,,,,,,,,725,71,4.1,45.3,8,48,427,4,23,26.7,224,1152,12,6,16,1,3,76,0,14,92,1,,,,,,false,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Nebraska""]",SFO,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,189,,,,,,,,649,28,4.2,40.6,7,71,675,3,64,42.2,226,1324,10,3,136,1,39,108,2,20,244,0,,,,,,true,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Nebraska""]",SFO,PB AP-2,FB,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,292,,,,,,,,1050,62,4.9,65.6,9,92,1016,6,73,63.5,306,2066,15,5,23,0,8,18,0,14,41,0,,,,,,false,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Nebraska""]",SFO,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,183,,,,,,,,830,25,4.1,51.9,7,81,624,0,48,39.0,285,1454,7,4,17,0,5,22,0,9,39,1,,,,,,false,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Nebraska""]",SFO,PB,RB/FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,150,,,,,,,,815,25,3.8,58.2,3,66,492,1,35,35.1,281,1307,4,5,17,0,6,78,0,31,95,0,,,,,,false,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Nebraska""]",SFO,PB AP-1 AP MVP-3 OPoY-1,RB,true,false,true,true,true,true,true,false,false,false,false,false,false,true,true,false,256,,,,,,,,1502,46,4.8,93.9,9,76,534,1,22,33.4,386,2036,10,8,274,2,80,160,0,40,434,2,,,,,,true,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Nebraska""]",SFO,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,191,,,,,,,,1054,27,3.9,65.9,6,49,473,1,44,29.6,320,1527,7,4,288,3,29,74,0,16,362,0,,,,,,true,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Nebraska""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,68,,,,,,,,439,26,3.1,39.9,1,25,201,0,31,18.3,166,640,1,2,46,0,7,70,0,32,116,2,,,,,,false,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Nebraska""]",RAI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,77,,,,,,,,590,15,3.6,39.3,1,17,136,0,20,9.1,179,726,1,2,,,,,,,,,,,,,,false,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
Roger,Craig,Roger Craig,07/10/1960,CraiRo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Nebraska""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,80,,,,,,,,416,21,4.0,27.7,4,22,164,0,22,10.9,127,580,4,2,23,0,20,0,0,,23,0,,,,,,false,false,true,false,true,false,false,true,true,true,true,true,true,false,false,8189,566,4911,56,17,0,0
