first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2015,"[""Duke""]",WAS,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,0,0,0,,3.1,39.6,0.0,2,2,1.0,0.1,0,59,604,2,44,37.8,61,606,2,4,0,0,,15,0,6,15,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2016,"[""Duke""]",WAS,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,131,,,,,,,,-2,7,-1.0,-0.1,0,67,847,7,55,52.9,69,845,7,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2017,"[""Duke""]",WAS,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,94,,,,,,,,34,11,4.9,2.3,0,66,789,3,41,52.6,73,823,3,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2018,"[""Duke""]",WAS,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,54,,,,,,,,30,25,7.5,3.3,0,29,388,2,79,43.1,33,418,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2019,"[""Duke""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,120,,,,,,,,4,4,4.0,0.3,0,78,833,6,41,52.1,79,837,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2020,"[""Duke""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,113,43,1,0,43,100.0,158.3,100.0,14,14,14.0,1.2,0,59,699,6,69,58.3,60,713,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2021,"[""Duke""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,59,0,0,0,,87.5,,,0,,,0.0,0,51,447,2,29,37.3,51,447,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2022,"[""Duke""]",BUF,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,,,,,,,,0,,,0.0,0,6,60,0,16,15.0,6,60,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2023,"[""Duke""]",WAS,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,,,,,,,,0,,,0.0,0,16,159,1,26,9.4,16,159,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
Jamison,Crowder,Jamison Crowder,06/17/1993,CrowJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CrowJa00_2024.jpg,2024,"[""Duke""]",WAS,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,17,,,,,,,,0,,,0.0,0,9,72,2,12,12.0,9,72,2,2,0,0,,29,0,13,29,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,440,4898,0,31,43,1
